"Fish_id","Watershed","Status","Original_Points","Filtered_Points"
"2014_nk_251","Nush","Success",1348,1010
"2014_nk_252","Nush","Success",1459,1094
"2014_nk_254","Nush","Success",1096,873
"2014_nk_255","Nush","Success",988,735
"2014_nk_257","Nush","Success",1351,1016
"2014_nk_258","Nush","Success",1030,772
"2014_nk_26","Nush","Success",1007,716
"2014_nk_260","Nush","Success",1014,742
"2014_nk_261","Nush","Success",1218,1139
"2014_nk_262","Nush","Success",1452,948
"2014_nk_266","Nush","Success",1152,893
"2014_nk_267","Nush","Success",1405,841
"2014_nk_268","Nush","Success",1240,1053
"2014_nk_269","Nush","Success",1269,919
"2014_nk_27","Nush","Success",1080,666
"2014_nk_271","Nush","Success",1616,1049
"2014_nk_272","Nush","Success",1356,920
"2014_nk_273","Nush","Success",1425,968
"2014_nk_274","Nush","Success",1188,867
"2014_nk_275","Nush","Success",1493,1071
"2014_nk_276","Nush","Success",1101,936
"2014_nk_277","Nush","Success",1239,985
"2014_nk_278","Nush","Success",1287,986
"2014_nk_279","Nush","Success",1043,841
"2014_nk_28","Nush","Success",1076,771
"2014_nk_280","Nush","Success",1203,932
"2014_nk_281","Nush","Success",1246,928
"2014_nk_29B","Nush","Success",1258,972
"2014_nk_30","Nush","Success",1104,878
"2014_nk_31","Nush","Success",1043,706
"2014_nk_32","Nush","Success",1281,880
"2014_nk_35_redo","Nush","Success",1227,810
"2014_nk_37","Nush","Success",1182,963
"2014_nk_4_redo","Nush","Success",1130,798
"2014_nk_4","Nush","Success",1614,1029
"2014_nk_40","Nush","Success",1047,790
"2014_nk_41","Nush","Success",1180,897
"2014_nk_42_redo","Nush","Success",1245,850
"2014_nk_43","Nush","Success",1279,1136
"2014_nk_44","Nush","Success",1311,945
"2014_nk_46","Nush","Success",834,664
"2014_nk_46B","Nush","Success",1248,901
"2014_nk_48","Nush","Success",1464,1013
"2014_nk_49","Nush","Success",870,836
"2014_nk_5","Nush","Success",1113,836
"2014_nk_51","Nush","Success",1206,961
"2014_nk_52","Nush","Success",1034,932
"2014_nk_53","Nush","Success",1232,901
"2014_nk_55","Nush","Success",1141,992
"2014_nk_56_redo","Nush","Success",1499,1048
"2014_nk_57","Nush","Success",1206,905
"2014_nk_58","Nush","Success",1096,1001
"2014_nk_59","Nush","Success",1472,876
"2014_nk_6","Nush","Success",1023,838
"2014_nk_62","Nush","Success",1272,1018
"2014_nk_65","Nush","Success",928,762
"2014_nk_68","Nush","Success",1206,816
"2014_nk_69","Nush","Success",1148,1035
"2014_nk_7","Nush","Success",1528,977
"2014_nk_70_redo","Nush","Success",1277,926
"2014_nk_72","Nush","Success",1024,879
"2014_nk_73","Nush","Success",1411,822
"2014_nk_74","Nush","Success",1217,869
"2014_nk_75","Nush","Success",1242,942
"2014_nk_77","Nush","Success",1261,912
"2014_nk_78","Nush","Success",1113,902
"2014_nk_8","Nush","Success",961,794
"2014_nk_80","Nush","Success",1306,1131
"2014_nk_81","Nush","Success",1108,792
"2014_nk_82_redo","Nush","Success",978,801
"2014_nk_84","Nush","Success",1321,809
"2014_nk_85","Nush","Success",1387,981
"2014_nk_86","Nush","Success",1126,809
"2014_nk_88_redo","Nush","Success",1403,1060
"2014_nk_89","Nush","Success",1277,1084
"2014_nk_90","Nush","Success",1168,1096
"2014_nk_91","Nush","Success",1080,869
"2014_nk_92","Nush","Success",1138,965
"2014_nk_93","Nush","Success",1108,935
"2014_nk_94_redo","Nush","Success",1535,953
"2014_nk_95","Nush","Success",1113,911
"2014_nk_96","Nush","Success",1092,936
"2014_nk_98","Nush","Success",1198,891
"2014_nk_99","Nush","Success",1125,749
"2015_nk_001","Nush","Success",1213,912
"2015_nk_002","Nush","Success",1014,691
"2015_nk_004","Nush","Success",1075,733
"2015_nk_005","Nush","Success",1096,780
"2015_nk_009","Nush","Success",1152,1054
"2015_nk_011","Nush","Success",1153,859
"2015_nk_012","Nush","Success",991,830
"2015_nk_013_2","Nush","Success",897,882
"2015_nk_014","Nush","Success",998,841
"2015_nk_017","Nush","Success",1159,983
"2015_nk_018","Nush","Success",1227,1037
"2015_nk_019","Nush","Success",1208,940
"2015_nk_022","Nush","Success",1002,873
"2015_nk_023","Nush","Success",983,914
"2015_nk_026","Nush","Success",821,818
"2015_nk_028","Nush","Success",943,792
"2015_nk_030_redo","Nush","Success",932,808
"2015_nk_031_redo","Nush","Success",967,764
"2015_nk_033","Nush","Success",1246,919
"2015_nk_035_1","Nush","Success",1133,762
"2015_nk_036_redo","Nush","Success",1518,1091
"2015_nk_038","Nush","Success",1186,972
"2015_nk_039","Nush","Success",1345,928
"2015_nk_040","Nush","Success",1371,1018
"2015_nk_042","Nush","Success",1153,849
"2015_nk_044_redo","Nush","Success",1706,785
"2015_nk_045_redo","Nush","Success",1112,838
"2015_nk_046","Nush","Success",938,814
"2015_nk_048","Nush","Success",984,828
"2015_nk_057","Nush","Success",1572,910
"2015_nk_058","Nush","Success",1305,898
