"Cycle","Sr88","Iso","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
272,0.763003262711595,0.70637355366872,142.528,285.056,"2015_nk_266_redo","Nush",2015,0.706356902901964,0.73964013429289,0.00029788078058024,343.160167716927,517.102796136404,958.92,0.704866844167195
273,0.77170168271724,0.707281445450834,143.052,286.104,"2015_nk_266_redo","Nush",2015,0.70631524154409,0.739850495221755,0.000210360928864839,343.160167716927,517.102796136404,958.92,0.704866844167195
274,0.751202265836749,0.708159358672034,143.576,287.152,"2015_nk_266_redo","Nush",2015,0.706262444167253,0.739811586529587,-3.89086921682713e-05,343.160167716927,517.102796136404,958.92,0.704866844167195
275,0.743945889360326,0.706663351138909,144.1,288.2,"2015_nk_266_redo","Nush",2015,0.70621039242933,0.739890049013547,7.8462483959485e-05,343.160167716927,517.102796136404,958.92,0.704866844167195
276,0.750021251373033,0.706487868009971,144.624,289.248,"2015_nk_266_redo","Nush",2015,0.706140396563477,0.739763870071411,-0.000126178942135402,343.160167716927,517.102796136404,958.92,0.704866844167195
277,0.756321193013148,0.705647145734283,145.148,290.296,"2015_nk_266_redo","Nush",2015,0.70611577243054,0.739616228550818,-0.000147641520593211,343.160167716927,517.102796136404,958.92,0.704866844167195
278,0.755998567444999,0.705382530715834,145.672,291.344,"2015_nk_266_redo","Nush",2015,0.706082867088184,0.739299356269142,-0.00031687228167554,343.160167716927,517.102796136404,958.92,0.704866844167195
279,0.764588780324164,0.706055280588644,146.196,292.392,"2015_nk_266_redo","Nush",2015,0.706050424818593,0.738651766128572,-0.00064759014057092,343.160167716927,517.102796136404,958.92,0.704866844167195
280,0.758296441716365,0.705547299045116,146.72,293.44,"2015_nk_266_redo","Nush",2015,0.706043174812337,0.738546307236354,-0.000105458892218024,343.160167716927,517.102796136404,958.92,0.704866844167195
281,0.749082779212874,0.705964424638075,147.244,294.488,"2015_nk_266_redo","Nush",2015,0.706034716976682,0.738277291833662,-0.000269015402691752,343.160167716927,517.102796136404,958.92,0.704866844167195
282,0.763838429386152,0.707395119798969,147.768,295.536,"2015_nk_266_redo","Nush",2015,0.706019166198981,0.737904882910671,-0.000372408922990841,343.160167716927,517.102796136404,958.92,0.704866844167195
283,0.767833789096942,0.705667065826325,148.292,296.584,"2015_nk_266_redo","Nush",2015,0.705960193034712,0.737354726295873,-0.000550156614797737,343.160167716927,517.102796136404,958.92,0.704866844167195
284,0.767161576777724,0.70705354108797,148.816,297.632,"2015_nk_266_redo","Nush",2015,0.705949838613042,0.736657365179389,-0.000697361116483775,343.160167716927,517.102796136404,958.92,0.704866844167195
285,0.77677026766186,0.707884549303551,149.34,298.68,"2015_nk_266_redo","Nush",2015,0.705920134783252,0.735841023694308,-0.00081634148508114,343.160167716927,517.102796136404,958.92,0.704866844167195
286,0.781811399357014,0.706303769993389,149.864,299.728,"2015_nk_266_redo","Nush",2015,0.705906450884386,0.735116718109368,-0.000724305584940632,343.160167716927,517.102796136404,958.92,0.704866844167195
287,0.753194659959649,0.706490504016632,150.388,300.776,"2015_nk_266_redo","Nush",2015,0.705928344323343,0.734152114187872,-0.000964603921495555,343.160167716927,517.102796136404,958.92,0.704866844167195
288,0.758352732052037,0.704607356178994,150.912,301.824,"2015_nk_266_redo","Nush",2015,0.705877167006536,0.732703638224593,-0.00144847596327935,343.160167716927,517.102796136404,958.92,0.704866844167195
289,0.775651494034471,0.706024377985626,151.436,302.872,"2015_nk_266_redo","Nush",2015,0.705845756664544,0.731306691382244,-0.00139694684234903,343.160167716927,517.102796136404,958.92,0.704866844167195
290,0.75115884495865,0.706998559477787,151.96,303.92,"2015_nk_266_redo","Nush",2015,0.705824313622817,0.729796798837155,-0.00150989254508882,343.160167716927,517.102796136404,958.92,0.704866844167195
291,0.739261684063363,0.707353401787026,152.484,304.968,"2015_nk_266_redo","Nush",2015,0.705814529715606,0.728066155638913,-0.0017306431982419,343.160167716927,517.102796136404,958.92,0.704866844167195
292,0.733249632104679,0.706781865030215,153.008,306.016,"2015_nk_266_redo","Nush",2015,0.705780589864169,0.726838268369279,-0.00122788726963363,343.160167716927,517.102796136404,958.92,0.704866844167195
293,0.730234482913587,0.704941035903487,153.532,307.064,"2015_nk_266_redo","Nush",2015,0.705776223432583,0.725751705593039,-0.00108656277623997,343.160167716927,517.102796136404,958.92,0.704866844167195
294,0.72546431220871,0.705809695625578,154.056,308.112,"2015_nk_266_redo","Nush",2015,0.705738326714904,0.724171268675757,-0.00158043691728216,343.160167716927,517.102796136404,958.92,0.704866844167195
295,0.711309322554971,0.705349436715582,154.58,309.16,"2015_nk_266_redo","Nush",2015,0.705725654707106,0.722865401658992,-0.0013058670167656,343.160167716927,517.102796136404,958.92,0.704866844167195
296,0.693834413182367,0.704034482627031,155.104,310.208,"2015_nk_266_redo","Nush",2015,0.705736563676196,0.721678018266744,-0.00118738339224778,343.160167716927,517.102796136404,958.92,0.704866844167195
297,0.719016457911682,0.703685417497427,155.628,311.256,"2015_nk_266_redo","Nush",2015,0.705708182738219,0.720842651277349,-0.00083536698939457,343.160167716927,517.102796136404,958.92,0.704866844167195
298,0.726730368506324,0.705564840917959,156.152,312.304,"2015_nk_266_redo","Nush",2015,0.705687815649689,0.719658439448523,-0.00118421182882611,343.160167716927,517.102796136404,958.92,0.704866844167195
299,0.711141509592829,0.704528080315541,156.676,313.352,"2015_nk_266_redo","Nush",2015,0.705660677035684,0.718685155261615,-0.000973284186907897,343.160167716927,517.102796136404,958.92,0.704866844167195
300,0.697219626422626,0.70666402935472,157.2,314.4,"2015_nk_266_redo","Nush",2015,0.705615493541706,0.717454310273417,-0.00123084498819781,343.160167716927,517.102796136404,958.92,0.704866844167195
301,0.70839920243121,0.705055895056585,157.724,315.448,"2015_nk_266_redo","Nush",2015,0.705597648382733,0.716102098811351,-0.00135221146206632,343.160167716927,517.102796136404,958.92,0.704866844167195
302,0.694166519553366,0.70512103825076,158.248,316.496,"2015_nk_266_redo","Nush",2015,0.705583043661983,0.715090296488978,-0.00101180232237341,343.160167716927,517.102796136404,958.92,0.704866844167195
303,0.699343563568959,0.70456849450035,158.772,317.544,"2015_nk_266_redo","Nush",2015,0.705537640292907,0.713924296605102,-0.00116599988387611,343.160167716927,517.102796136404,958.92,0.704866844167195
304,0.694662115010865,0.705176224028831,159.296,318.592,"2015_nk_266_redo","Nush",2015,0.705486843493369,0.713050896340119,-0.000873400264982727,343.160167716927,517.102796136404,958.92,0.704866844167195
305,0.692842419501888,0.705462340485082,159.82,319.64,"2015_nk_266_redo","Nush",2015,0.705452470568065,0.712516632813735,-0.000534263526383416,343.160167716927,517.102796136404,958.92,0.704866844167195
306,0.700672021336577,0.704334566043263,160.344,320.688,"2015_nk_266_redo","Nush",2015,0.705418979314189,0.711760181405141,-0.00075645140859415,343.160167716927,517.102796136404,958.92,0.704866844167195
307,0.697429533075335,0.70467659594383,160.868,321.736,"2015_nk_266_redo","Nush",2015,0.705408574339023,0.710938906283584,-0.000821275121557608,343.160167716927,517.102796136404,958.92,0.704866844167195
308,0.694257311734348,0.704660459062208,161.392,322.784,"2015_nk_266_redo","Nush",2015,0.705398647402239,0.71043832868016,-0.000500577603423369,343.160167716927,517.102796136404,958.92,0.704866844167195
309,0.682789480355435,0.705476998265453,161.916,323.832,"2015_nk_266_redo","Nush",2015,0.705430272519315,0.709748806024856,-0.000689522655304087,343.160167716927,517.102796136404,958.92,0.704866844167195
310,0.706797559342479,0.705515342912981,162.44,324.88,"2015_nk_266_redo","Nush",2015,0.705414776657465,0.709276717056771,-0.000472088968085482,343.160167716927,517.102796136404,958.92,0.704866844167195
311,0.70385801646425,0.706559956034912,162.964,325.928,"2015_nk_266_redo","Nush",2015,0.705404832684833,0.709032212680985,-0.000244504375785715,343.160167716927,517.102796136404,958.92,0.704866844167195
312,0.707909048687198,0.705503176071282,163.488,326.976,"2015_nk_266_redo","Nush",2015,0.705366562415183,0.708485505368461,-0.000546707312523709,343.160167716927,517.102796136404,958.92,0.704866844167195
313,0.701492302098984,0.70332697883354,164.012,328.024,"2015_nk_266_redo","Nush",2015,0.705363766010552,0.707732561668278,-0.000752943700183417,343.160167716927,517.102796136404,958.92,0.704866844167195
314,0.690610340927241,0.706472885985249,164.536,329.072,"2015_nk_266_redo","Nush",2015,0.705326019462778,0.70723977303687,-0.000492788631407892,343.160167716927,517.102796136404,958.92,0.704866844167195
315,0.677200597954135,0.704736505252025,165.06,330.12,"2015_nk_266_redo","Nush",2015,0.705283238614434,0.706621255347116,-0.000618517689753961,343.160167716927,517.102796136404,958.92,0.704866844167195
316,0.669538956325519,0.706013520085711,165.584,331.168,"2015_nk_266_redo","Nush",2015,0.705263861312982,0.705815332142896,-0.000805923204219905,343.160167716927,517.102796136404,958.92,0.704866844167195
317,0.665583119040751,0.707216641874499,166.108,332.216,"2015_nk_266_redo","Nush",2015,0.705218361207067,0.705495833186363,-0.000319498956533382,343.160167716927,517.102796136404,958.92,0.704866844167195
318,0.668327592828712,0.704065519794153,166.632,333.264,"2015_nk_266_redo","Nush",2015,0.70522175391711,0.705126158831085,-0.00036967435527735,343.160167716927,517.102796136404,958.92,0.704866844167195
319,0.666786825551833,0.704858058843707,167.156,334.312,"2015_nk_266_redo","Nush",2015,0.705181151486014,0.704431838985755,-0.000694319845330638,343.160167716927,517.102796136404,958.92,0.704866844167195
320,0.671316820923476,0.705363205950325,167.68,335.36,"2015_nk_266_redo","Nush",2015,0.705151638487259,0.704211740276241,-0.000220098709514005,343.160167716927,517.102796136404,958.92,0.704866844167195
321,0.665685519669177,0.705434449765125,168.204,336.408,"2015_nk_266_redo","Nush",2015,0.705129399561336,0.704408693254059,0.000196952977818632,343.160167716927,517.102796136404,958.92,0.704866844167195
322,0.665406464921997,0.705221884604853,168.728,337.456,"2015_nk_266_redo","Nush",2015,0.705096357083335,0.704489365119654,8.06718655942396e-05,343.160167716927,517.102796136404,958.92,0.704866844167195
323,0.674489171183816,0.706225367291288,169.252,338.504,"2015_nk_266_redo","Nush",2015,0.705064746193935,0.704679851331269,0.000190486211615548,343.160167716927,517.102796136404,958.92,0.704866844167195
324,0.676616162447356,0.703996512615105,169.776,339.552,"2015_nk_266_redo","Nush",2015,0.7050457838039,0.705027009321665,0.000347157990395308,343.160167716927,517.102796136404,958.92,0.704866844167195
325,0.677392033328009,0.705098180426321,170.3,340.6,"2015_nk_266_redo","Nush",2015,0.705038382386427,0.705558878945876,0.000531869624211589,343.160167716927,517.102796136404,958.92,0.704866844167195
326,0.690597250288591,0.704988129032536,170.824,341.648,"2015_nk_266_redo","Nush",2015,0.705049751440929,0.70618137269082,0.000622493744943386,343.160167716927,517.102796136404,958.92,0.704866844167195
327,0.698346979613734,0.704294643869763,171.348,342.696,"2015_nk_266_redo","Nush",2015,0.70504346843567,0.706583173556074,0.000401800865254764,343.160167716927,517.102796136404,958.92,0.704866844167195
328,0.701631735475534,0.704335193759062,171.872,343.744,"2015_nk_266_redo","Nush",2015,0.705042656286775,0.707001297664155,0.000418124108081064,343.160167716927,517.102796136404,958.92,0.704866844167195
329,0.70195777748867,0.705120459542061,172.396,344.792,"2015_nk_266_redo","Nush",2015,0.705085829182511,0.707471164321296,0.000469866657140328,343.160167716927,517.102796136404,958.92,0.704866844167195
330,0.687239758277791,0.704620383855536,172.92,345.84,"2015_nk_266_redo","Nush",2015,0.705062222868499,0.708322808316453,0.000851643995157136,343.160167716927,517.102796136404,958.92,0.704866844167195
331,0.68538261281771,0.705659907821388,173.444,346.888,"2015_nk_266_redo","Nush",2015,0.705069468803981,0.709019439653003,0.000696631336549847,343.160167716927,517.102796136404,958.92,0.704866844167195
332,0.70229512336919,0.705497270423695,173.968,347.936,"2015_nk_266_redo","Nush",2015,0.705063905251297,0.71000481468892,0.00098537503591789,343.160167716927,517.102796136404,958.92,0.704866844167195
