"File","Fish_ID","QC_Grade"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_15_trimLocations.csv","2011_nk_15_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_150_trimLocations.csv","2011_nk_150_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_151_trimLocations.csv","2011_nk_151_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_152_trimLocations.csv","2011_nk_152_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_153_trimLocations.csv","2011_nk_153_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_154_trimLocations.csv","2011_nk_154_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_156_trimLocations.csv","2011_nk_156_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_158_trimLocations.csv","2011_nk_158_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_159_trimLocations.csv","2011_nk_159_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_16_trimLocations.csv","2011_nk_16_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_161_trimLocations.csv","2011_nk_161_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_162_trimLocations.csv","2011_nk_162_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_163_trimLocations.csv","2011_nk_163_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_164_trimLocations.csv","2011_nk_164_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_165_trimLocations.csv","2011_nk_165_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_167_trimLocations.csv","2011_nk_167_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_168_trimLocations.csv","2011_nk_168_trimLocations","Delete"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_169_trimLocations.csv","2011_nk_169_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_17_trimLocations.csv","2011_nk_17_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_170_trimLocations.csv","2011_nk_170_trimLocations","Perfect"
