"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
735,367.524,0.7093701,1.2884436,385.14,770.28,"2011_nk_149","Nush",2011,0.708837551666665,1.282571255,-0.000961756666666869,782.596753996877,915.620452557742,892.896,0.708574383464567
736,368.048,0.7090092,1.2902301,385.664,771.328,"2011_nk_149","Nush",2011,0.708852921666665,1.28172214666667,-0.000849108333333071,782.596753996877,915.620452557742,892.896,0.708574383464567
737,368.524,0.7087925,1.311741,386.188,772.376,"2011_nk_149","Nush",2011,0.708881204999998,1.28076091166667,-0.000961235000000116,782.596753996877,915.620452557742,892.896,0.708574383464567
738,369.048,0.7082541,1.2981176,386.712,773.424,"2011_nk_149","Nush",2011,0.708870294999998,1.27971421333334,-0.00104669833333326,782.596753996877,915.620452557742,892.896,0.708574383464567
739,369.524,0.7077119,1.2780243,387.236,774.472,"2011_nk_149","Nush",2011,0.708855631666665,1.278180805,-0.00153340833333337,782.596753996877,915.620452557742,892.896,0.708574383464567
740,370.048,0.7092508,1.305294,387.76,775.52,"2011_nk_149","Nush",2011,0.708815699999998,1.27653161,-0.00164919499999994,782.596753996877,915.620452557742,892.896,0.708574383464567
741,370.524,0.7095141,1.28674,388.284,776.568,"2011_nk_149","Nush",2011,0.708810219999998,1.27529856333334,-0.00123304666666657,782.596753996877,915.620452557742,892.896,0.708574383464567
742,371.048,0.7085134,1.2903246,388.808,777.616,"2011_nk_149","Nush",2011,0.708810463333332,1.27408233333334,-0.00121623000000004,782.596753996877,915.620452557742,892.896,0.708574383464567
743,371.524,0.708946,1.3049417,389.332,778.664,"2011_nk_149","Nush",2011,0.708798081666665,1.27288463333334,-0.00119770000000008,782.596753996877,915.620452557742,892.896,0.708574383464567
744,372.048,0.7081787,1.2935221,389.856,779.712,"2011_nk_149","Nush",2011,0.708835563333331,1.272010125,-0.000874508333333246,782.596753996877,915.620452557742,892.896,0.708574383464567
745,372.524,0.7080439,1.2651189,390.38,780.76,"2011_nk_149","Nush",2011,0.708837608333331,1.27157579833334,-0.000434326666666651,782.596753996877,915.620452557742,892.896,0.708574383464567
746,373.048,0.7098383,1.3024989,390.904,781.808,"2011_nk_149","Nush",2011,0.708841328333331,1.27077817,-0.000797628333333078,782.596753996877,915.620452557742,892.896,0.708574383464567
747,373.524,0.7082491,1.3039229,391.428,782.856,"2011_nk_149","Nush",2011,0.708849936666665,1.269663425,-0.00111474500000019,782.596753996877,915.620452557742,892.896,0.708574383464567
748,374.048,0.7094609,1.2858947,391.952,783.904,"2011_nk_149","Nush",2011,0.708841799999998,1.26881067666667,-0.000852748333333375,782.596753996877,915.620452557742,892.896,0.708574383464567
749,374.524,0.7089375,1.2659772,392.476,784.952,"2011_nk_149","Nush",2011,0.708883588333331,1.26765134833334,-0.00115932833333332,782.596753996877,915.620452557742,892.896,0.708574383464567
750,375.048,0.7099581,1.2563107,393,786,"2011_nk_149","Nush",2011,0.708890844999998,1.26655967166667,-0.00109167666666643,782.596753996877,915.620452557742,892.896,0.708574383464567
751,375.524,0.7091374,1.2919502,393.524,787.048,"2011_nk_149","Nush",2011,0.708862074999998,1.26543692666667,-0.00112274499999998,782.596753996877,915.620452557742,892.896,0.708574383464567
752,376.048,0.7079741,1.2854488,394.048,788.096,"2011_nk_149","Nush",2011,0.708859631666665,1.26475293833334,-0.000683988333333385,782.596753996877,915.620452557742,892.896,0.708574383464567
753,376.524,0.7085594,1.2861883,394.572,789.144,"2011_nk_149","Nush",2011,0.708837323333331,1.26407101333334,-0.000681924999999861,782.596753996877,915.620452557742,892.896,0.708574383464567
754,377.048,0.7082252,1.2635811,395.096,790.192,"2011_nk_149","Nush",2011,0.708846304999998,1.263275165,-0.000795848333333238,782.596753996877,915.620452557742,892.896,0.708574383464567
755,377.524,0.7092702,1.2447628,395.62,791.24,"2011_nk_149","Nush",2011,0.708834553333331,1.26255902333334,-0.000716141666666781,782.596753996877,915.620452557742,892.896,0.708574383464567
756,378.048,0.7085489,1.27592,396.144,792.288,"2011_nk_149","Nush",2011,0.708836759999998,1.26211805833334,-0.000440964999999904,782.596753996877,915.620452557742,892.896,0.708574383464567
757,378.524,0.7086586,1.2579075,396.668,793.336,"2011_nk_149","Nush",2011,0.708822319999998,1.26131207666667,-0.000805981666666566,782.596753996877,915.620452557742,892.896,0.708574383464567
758,379.048,0.708321,1.2537242,397.192,794.384,"2011_nk_149","Nush",2011,0.708826471666665,1.26063702166667,-0.000675055000000091,782.596753996877,915.620452557742,892.896,0.708574383464567
759,379.524,0.7085761,1.2712352,397.716,795.432,"2011_nk_149","Nush",2011,0.708821156666665,1.26015992333334,-0.000477098333333092,782.596753996877,915.620452557742,892.896,0.708574383464567
760,380.048,0.7096433,1.2510045,398.24,796.48,"2011_nk_149","Nush",2011,0.708816619999998,1.25975967833334,-0.000400245000000021,782.596753996877,915.620452557742,892.896,0.708574383464567
761,380.524,0.7092706,1.2517333,398.764,797.528,"2011_nk_149","Nush",2011,0.708818594999998,1.25901194833334,-0.000747730000000058,782.596753996877,915.620452557742,892.896,0.708574383464567
762,381.048,0.7101863,1.2589014,399.288,798.576,"2011_nk_149","Nush",2011,0.708811148333331,1.25824305333334,-0.000768894999999992,782.596753996877,915.620452557742,892.896,0.708574383464567
763,381.524,0.7082635,1.2593381,399.812,799.624,"2011_nk_149","Nush",2011,0.708796506666665,1.25713140166667,-0.00111165166666649,782.596753996877,915.620452557742,892.896,0.708574383464567
764,382.048,0.7089986,1.2482349,400.336,800.672,"2011_nk_149","Nush",2011,0.708803489999998,1.25606935833334,-0.00106204333333348,782.596753996877,915.620452557742,892.896,0.708574383464567
765,382.524,0.7095832,1.2322341,400.86,801.72,"2011_nk_149","Nush",2011,0.708769276666665,1.25530570833334,-0.000763649999999894,782.596753996877,915.620452557742,892.896,0.708574383464567
766,383.048,0.7094304,1.2383441,401.384,802.768,"2011_nk_149","Nush",2011,0.708777728333331,1.25465239333334,-0.000653314999999877,782.596753996877,915.620452557742,892.896,0.708574383464567
767,383.524,0.7094472,1.2437672,401.908,803.816,"2011_nk_149","Nush",2011,0.708764178333331,1.25383442666667,-0.000817966666666559,782.596753996877,915.620452557742,892.896,0.708574383464567
768,384.048,0.7080235,1.2462051,402.432,804.864,"2011_nk_149","Nush",2011,0.708773656666665,1.25317450666667,-0.000659919999999925,782.596753996877,915.620452557742,892.896,0.708574383464567
769,384.524,0.7089388,1.2182944,402.956,805.912,"2011_nk_149","Nush",2011,0.708805734999998,1.252584435,-0.000590071666666692,782.596753996877,915.620452557742,892.896,0.708574383464567
770,385.048,0.7072334,1.2214881,403.48,806.96,"2011_nk_149","Nush",2011,0.708807353333331,1.25197563333334,-0.000608801666666547,782.596753996877,915.620452557742,892.896,0.708574383464567
771,385.524,0.7087999,1.2286392,404.004,808.008,"2011_nk_149","Nush",2011,0.708769651666665,1.251629005,-0.000346628333333543,782.596753996877,915.620452557742,892.896,0.708574383464567
772,386.048,0.7084767,1.2278829,404.528,809.056,"2011_nk_149","Nush",2011,0.708767489999998,1.25146505166667,-0.0001639533333333,782.596753996877,915.620452557742,892.896,0.708574383464567
773,386.524,0.7077015,1.2288192,405.052,810.104,"2011_nk_149","Nush",2011,0.708757293333331,1.25115444666667,-0.000310604999999908,782.596753996877,915.620452557742,892.896,0.708574383464567
774,387.048,0.7102752,1.2382838,405.576,811.152,"2011_nk_149","Nush",2011,0.708770121666665,1.25092219333334,-0.000232253333333432,782.596753996877,915.620452557742,892.896,0.708574383464567
775,387.524,0.7089359,1.2513181,406.1,812.2,"2011_nk_149","Nush",2011,0.708790778333331,1.25131417333334,0.00039198000000007,782.596753996877,915.620452557742,892.896,0.708574383464567
776,388.048,0.7085179,1.2343468,406.624,813.248,"2011_nk_149","Nush",2011,0.708763916666665,1.251147975,-0.000166198333333423,782.596753996877,915.620452557742,892.896,0.708574383464567
777,388.524,0.7087944,1.2318336,407.148,814.296,"2011_nk_149","Nush",2011,0.708759384999998,1.25124733833334,9.93633333332689e-05,782.596753996877,915.620452557742,892.896,0.708574383464567
778,389.048,0.7087258,1.2336142,407.672,815.344,"2011_nk_149","Nush",2011,0.708733706666665,1.251550275,0.000302936666666698,782.596753996877,915.620452557742,892.896,0.708574383464567
779,389.524,0.7106819,1.2210989,408.196,816.392,"2011_nk_149","Nush",2011,0.708737568333331,1.252011695,0.000461419999999935,782.596753996877,915.620452557742,892.896,0.708574383464567
780,390.048,0.7087644,1.2220402,408.72,817.44,"2011_nk_149","Nush",2011,0.708739063333331,1.25267924333334,0.000667548333333379,782.596753996877,915.620452557742,892.896,0.708574383464567
781,390.524,0.7080278,1.2102536,409.244,818.488,"2011_nk_149","Nush",2011,0.708729793333331,1.25338906833334,0.000709825000000164,782.596753996877,915.620452557742,892.896,0.708574383464567
782,391.048,0.7083221,1.2453495,409.768,819.536,"2011_nk_149","Nush",2011,0.708733859999998,1.25443037,0.00104130166666661,782.596753996877,915.620452557742,892.896,0.708574383464567
783,391.524,0.7065184,1.2399565,410.292,820.584,"2011_nk_149","Nush",2011,0.708733341666665,1.25564243166667,0.00121206166666665,782.596753996877,915.620452557742,892.896,0.708574383464567
784,392.048,0.7090759,1.2094661,410.816,821.632,"2011_nk_149","Nush",2011,0.708746204999998,1.25715687833334,0.00151444666666678,782.596753996877,915.620452557742,892.896,0.708574383464567
785,392.524,0.7088318,1.2379339,411.34,822.68,"2011_nk_149","Nush",2011,0.708745404999998,1.25948047833334,0.00232359999999998,782.596753996877,915.620452557742,892.896,0.708574383464567
786,393.048,0.7091477,1.2388475,411.864,823.728,"2011_nk_149","Nush",2011,0.708752723333331,1.26139682333334,0.00191634499999993,782.596753996877,915.620452557742,892.896,0.708574383464567
787,393.524,0.7086961,1.2622549,412.388,824.776,"2011_nk_149","Nush",2011,0.708752781666665,1.26377949333334,0.00238267000000025,782.596753996877,915.620452557742,892.896,0.708574383464567
788,394.048,0.7086105,1.2462105,412.912,825.824,"2011_nk_149","Nush",2011,0.708771053333331,1.26644825,0.00266875666666655,782.596753996877,915.620452557742,892.896,0.708574383464567
789,394.524,0.7086846,1.2426027,413.436,826.872,"2011_nk_149","Nush",2011,0.708771968333331,1.26917748166667,0.00272923166666672,782.596753996877,915.620452557742,892.896,0.708574383464567
790,395.048,0.7089851,1.2507867,413.96,827.92,"2011_nk_149","Nush",2011,0.708752389999998,1.27228743166667,0.00310995000000003,782.596753996877,915.620452557742,892.896,0.708574383464567
791,395.524,0.7085396,1.2279117,414.484,828.968,"2011_nk_149","Nush",2011,0.708741018333331,1.27585437166667,0.00356694000000024,782.596753996877,915.620452557742,892.896,0.708574383464567
792,396.048,0.708579,1.2513509,415.008,830.016,"2011_nk_149","Nush",2011,0.708725811666665,1.27961658,0.00376220833333329,782.596753996877,915.620452557742,892.896,0.708574383464567
793,396.524,0.7092429,1.2347316,415.532,831.064,"2011_nk_149","Nush",2011,0.708723936666665,1.28326118333334,0.0036446033333335,782.596753996877,915.620452557742,892.896,0.708574383464567
794,397.048,0.708956,1.2212629,416.056,832.112,"2011_nk_149","Nush",2011,0.708729864999998,1.28748959,0.00422840666666668,782.596753996877,915.620452557742,892.896,0.708574383464567
795,397.524,0.7073173,1.2426246,416.58,833.16,"2011_nk_149","Nush",2011,0.708719686666665,1.29196206333334,0.00447247333333323,782.596753996877,915.620452557742,892.896,0.708574383464567
796,398.048,0.7095163,1.2510312,417.104,834.208,"2011_nk_149","Nush",2011,0.708716731666665,1.29626725833334,0.00430519499999993,782.596753996877,915.620452557742,892.896,0.708574383464567
797,398.524,0.7079795,1.262663,417.628,835.256,"2011_nk_149","Nush",2011,0.708713828333332,1.30168332333334,0.00541606499999991,782.596753996877,915.620452557742,892.896,0.708574383464567
798,399.048,0.7088228,1.2585224,418.152,836.304,"2011_nk_149","Nush",2011,0.708722594999998,1.30691343333334,0.00523011000000007,782.596753996877,915.620452557742,892.896,0.708574383464567
799,399.524,0.7096366,1.24262,418.676,837.352,"2011_nk_149","Nush",2011,0.708736666666665,1.31284791,0.00593447666666669,782.596753996877,915.620452557742,892.896,0.708574383464567
800,400.048,0.7093479,1.2687659,419.2,838.4,"2011_nk_149","Nush",2011,0.708767448333331,1.318361335,0.00551342499999996,782.596753996877,915.620452557742,892.896,0.708574383464567
801,400.524,0.707252,1.2659423,419.724,839.448,"2011_nk_149","Nush",2011,0.708757026666665,1.32384588833334,0.00548455333333342,782.596753996877,915.620452557742,892.896,0.708574383464567
802,401.048,0.7083837,1.2804874,420.248,840.496,"2011_nk_149","Nush",2011,0.708762671666665,1.330291065,0.00644517666666666,782.596753996877,915.620452557742,892.896,0.708574383464567
803,401.524,0.7083342,1.2863054,420.772,841.544,"2011_nk_149","Nush",2011,0.708794744999998,1.33660813,0.00631706499999973,782.596753996877,915.620452557742,892.896,0.708574383464567
804,402.048,0.7089484,1.2795869,421.296,842.592,"2011_nk_149","Nush",2011,0.708788099999998,1.34274901333334,0.0061408833333334,782.596753996877,915.620452557742,892.896,0.708574383464567
805,402.524,0.7092833,1.2886377,421.82,843.64,"2011_nk_149","Nush",2011,0.708782729999998,1.34922999,0.00648097666666692,782.596753996877,915.620452557742,892.896,0.708574383464567
806,403.048,0.7082266,1.292527,422.344,844.688,"2011_nk_149","Nush",2011,0.708782773333331,1.35632052,0.00709052999999993,782.596753996877,915.620452557742,892.896,0.708574383464567
807,403.524,0.7079772,1.3098847,422.868,845.736,"2011_nk_149","Nush",2011,0.708769286666665,1.363645825,0.00732530499999995,782.596753996877,915.620452557742,892.896,0.708574383464567
808,404.048,0.7079202,1.3040709,423.392,846.784,"2011_nk_149","Nush",2011,0.708776488333331,1.37085336,0.00720753500000026,782.596753996877,915.620452557742,892.896,0.708574383464567
809,404.524,0.7091692,1.2936624,423.916,847.832,"2011_nk_149","Nush",2011,0.708749129999998,1.37835959166667,0.00750623166666653,782.596753996877,915.620452557742,892.896,0.708574383464567
810,405.048,0.7100478,1.2963636,424.44,848.88,"2011_nk_149","Nush",2011,0.708755994999998,1.38526024166667,0.00690065000000017,782.596753996877,915.620452557742,892.896,0.708574383464567
811,405.524,0.7085812,1.3345397,424.964,849.928,"2011_nk_149","Nush",2011,0.708775993333332,1.392169065,0.00690882333333342,782.596753996877,915.620452557742,892.896,0.708574383464567
812,406.048,0.7082181,1.3479269,425.488,850.976,"2011_nk_149","Nush",2011,0.708790223333332,1.39831415,0.006145085,782.596753996877,915.620452557742,892.896,0.708574383464567
813,406.524,0.7085283,1.358912,426.012,852.024,"2011_nk_149","Nush",2011,0.708820891666665,1.40461921166667,0.00630506166666667,782.596753996877,915.620452557742,892.896,0.708574383464567
814,407.048,0.708997,1.3544479,426.536,853.072,"2011_nk_149","Nush",2011,0.708828298333332,1.41167587666667,0.00705666500000013,782.596753996877,915.620452557742,892.896,0.708574383464567
815,407.524,0.7092222,1.3841788,427.06,854.12,"2011_nk_149","Nush",2011,0.708836946666665,1.41757292833334,0.00589705166666676,782.596753996877,915.620452557742,892.896,0.708574383464567
816,408.048,0.708988,1.3909007,427.584,855.168,"2011_nk_149","Nush",2011,0.708828299999998,1.42402909,0.00645616166666652,782.596753996877,915.620452557742,892.896,0.708574383464567
817,408.524,0.7086621,1.4008677,428.108,856.216,"2011_nk_149","Nush",2011,0.708828604999998,1.42973173833334,0.00570264833333334,782.596753996877,915.620452557742,892.896,0.708574383464567
818,409.048,0.7094173,1.4138496,428.632,857.264,"2011_nk_149","Nush",2011,0.708841676666665,1.43621574166667,0.00648400333333332,782.596753996877,915.620452557742,892.896,0.708574383464567
819,409.524,0.708631,1.4349891,429.156,858.312,"2011_nk_149","Nush",2011,0.708848524999998,1.442366365,0.00615062333333327,782.596753996877,915.620452557742,892.896,0.708574383464567
820,410.048,0.7084686,1.4376015,429.68,859.36,"2011_nk_149","Nush",2011,0.708852684999998,1.44878299833334,0.00641663333333309,782.596753996877,915.620452557742,892.896,0.708574383464567
821,410.524,0.7085883,1.4657497,430.204,860.408,"2011_nk_149","Nush",2011,0.708854553333332,1.45536642166667,0.0065834233333335,782.596753996877,915.620452557742,892.896,0.708574383464567
822,411.048,0.7092739,1.4846339,430.728,861.456,"2011_nk_149","Nush",2011,0.708859009999998,1.46229844333334,0.00693202166666662,782.596753996877,915.620452557742,892.896,0.708574383464567
823,411.524,0.708151,1.4780143,431.252,862.504,"2011_nk_149","Nush",2011,0.708847551666665,1.46914389,0.00684544666666675,782.596753996877,915.620452557742,892.896,0.708574383464567
824,412.048,0.7093543,1.5019393,431.776,863.552,"2011_nk_149","Nush",2011,0.708852126666665,1.47587872,0.00673482999999986,782.596753996877,915.620452557742,892.896,0.708574383464567
825,412.524,0.7089725,1.5005825,432.3,864.6,"2011_nk_149","Nush",2011,0.708869486666665,1.483175615,0.00729689500000008,782.596753996877,915.620452557742,892.896,0.708574383464567
826,413.048,0.7092531,1.4966558,432.824,865.648,"2011_nk_149","Nush",2011,0.708870851666665,1.49033459166667,0.00715897666666665,782.596753996877,915.620452557742,892.896,0.708574383464567
827,413.524,0.709273,1.5687311,433.348,866.696,"2011_nk_149","Nush",2011,0.708900069999998,1.49719580166667,0.00686121000000006,782.596753996877,915.620452557742,892.896,0.708574383464567
828,414.048,0.7085495,1.5600117,433.872,867.744,"2011_nk_149","Nush",2011,0.708907134999998,1.50427296,0.00707715833333333,782.596753996877,915.620452557742,892.896,0.708574383464567
829,414.524,0.7097831,1.574363,434.396,868.792,"2011_nk_149","Nush",2011,0.708895759999998,1.51173985166667,0.0074668916666667,782.596753996877,915.620452557742,892.896,0.708574383464567
830,415.048,0.7090803,1.5522936,434.92,869.84,"2011_nk_149","Nush",2011,0.708883984999998,1.51803079666667,0.00629094499999994,782.596753996877,915.620452557742,892.896,0.708574383464567
831,415.524,0.7081746,1.5577124,435.444,870.888,"2011_nk_149","Nush",2011,0.708913279999998,1.52490286166667,0.00687206500000004,782.596753996877,915.620452557742,892.896,0.708574383464567
832,416.048,0.7088154,1.6145935,435.968,871.936,"2011_nk_149","Nush",2011,0.708909501666665,1.53153983666667,0.00663697499999993,782.596753996877,915.620452557742,892.896,0.708574383464567
833,416.524,0.7096259,1.6078431,436.492,872.984,"2011_nk_149","Nush",2011,0.708933409999998,1.53789890666667,0.0063590699999998,782.596753996877,915.620452557742,892.896,0.708574383464567
834,417.048,0.7098765,1.6067368,437.016,874.032,"2011_nk_149","Nush",2011,0.708924281666665,1.544483005,0.0065840983333334,782.596753996877,915.620452557742,892.896,0.708574383464567
835,417.524,0.7086137,1.6401767,437.54,875.08,"2011_nk_149","Nush",2011,0.708911606666665,1.55023587,0.00575286500000005,782.596753996877,915.620452557742,892.896,0.708574383464567
836,418.048,0.7085205,1.6597786,438.064,876.128,"2011_nk_149","Nush",2011,0.708924198333332,1.55618206166667,0.00594619166666654,782.596753996877,915.620452557742,892.896,0.708574383464567
837,418.524,0.7079852,1.6713519,438.588,877.176,"2011_nk_149","Nush",2011,0.708941989999998,1.56196306166667,0.00578100000000004,782.596753996877,915.620452557742,892.896,0.708574383464567
