Cycle,Time,Iso,Sr88,FishID,Watershed,Year,Microns,MA
647,339.028,0.7080116746620477,0.9212293966903472,2015_yk_379b,Yukon,2015,678.056,0.7074104887210237
648,339.552,0.7072144908609534,0.8899433540169503,2015_yk_379b,Yukon,2015,679.104,0.7074151591986849
649,340.076,0.7076932967486895,0.8632439761838574,2015_yk_379b,Yukon,2015,680.152,0.7074213910511077
650,340.6,0.7068565511623178,0.8834838135654223,2015_yk_379b,Yukon,2015,681.2,0.7073948441233365
651,341.124,0.7074323480997949,0.919933083588438,2015_yk_379b,Yukon,2015,682.248,0.7073964501433376
652,341.648,0.706207390549797,0.9026118948509628,2015_yk_379b,Yukon,2015,683.296,0.7073908832562631
653,342.172,0.7084806510624152,0.9031723282094476,2015_yk_379b,Yukon,2015,684.344,0.7073846634994037
654,342.696,0.7067081343417491,0.9239066342971822,2015_yk_379b,Yukon,2015,685.392,0.7074115041162486
655,343.22,0.7065670391400821,0.9497161400599572,2015_yk_379b,Yukon,2015,686.44,0.7074491461062313
656,343.744,0.7083903670688625,0.8940701018946895,2015_yk_379b,Yukon,2015,687.488,0.7074382743769715
657,344.26800000000003,0.7074948979851293,0.882501303216511,2015_yk_379b,Yukon,2015,688.5360000000001,0.7074300189533405
658,344.79200000000003,0.7067521736794584,0.9347209967451612,2015_yk_379b,Yukon,2015,689.5840000000001,0.7074229385683796
659,345.31600000000003,0.7070150338048369,0.926634001148627,2015_yk_379b,Yukon,2015,690.6320000000001,0.7074211491434088
660,345.84000000000003,0.7081836312671967,0.8853943304307252,2015_yk_379b,Yukon,2015,691.6800000000001,0.7074153173948604
661,346.36400000000003,0.7078904546318631,0.9140304496569148,2015_yk_379b,Yukon,2015,692.7280000000001,0.7073861980540033
662,346.88800000000003,0.7077673838491944,0.9449678132453088,2015_yk_379b,Yukon,2015,693.7760000000001,0.7073684994527981
663,347.41200000000003,0.7061614562241448,0.8775293944784284,2015_yk_379b,Yukon,2015,694.8240000000001,0.707366686585479
664,347.93600000000004,0.7072924478955642,0.8600261874506446,2015_yk_379b,Yukon,2015,695.8720000000001,0.7073697182504787
665,348.46000000000004,0.7075851649241333,0.9142662728471116,2015_yk_379b,Yukon,2015,696.9200000000001,0.7073489318813778
666,348.98400000000004,0.7069659150299541,0.9444534352128312,2015_yk_379b,Yukon,2015,697.9680000000001,0.7073346707437421
667,349.50800000000004,0.7077824343560961,0.891574307683015,2015_yk_379b,Yukon,2015,699.0160000000001,0.7073203157353368
668,350.03200000000004,0.7073114573653183,0.9051157199955788,2015_yk_379b,Yukon,2015,700.0640000000001,0.7073115991792558
669,350.55600000000004,0.706665748049408,0.9230260505773934,2015_yk_379b,Yukon,2015,701.1120000000001,0.7073582031593928
670,351.08000000000004,0.7071719033727418,0.911691131411506,2015_yk_379b,Yukon,2015,702.1600000000001,0.707373835977045
671,351.60400000000004,0.7073768181277713,0.8933651331204938,2015_yk_379b,Yukon,2015,703.2080000000001,0.7073829633681895
672,352.12800000000004,0.7068512771359573,0.9154390419509896,2015_yk_379b,Yukon,2015,704.2560000000001,0.7073724903678821
673,352.65200000000004,0.7064975842218864,0.94381490698943,2015_yk_379b,Yukon,2015,705.3040000000001,0.7073617111265464
674,353.176,0.7087547361631772,0.925028168497689,2015_yk_379b,Yukon,2015,706.352,0.7073700392396888
675,353.7,0.7067948152414769,0.9094123302914408,2015_yk_379b,Yukon,2015,707.4,0.7073474635639954
676,354.224,0.7061624160247487,0.9309539516700226,2015_yk_379b,Yukon,2015,708.448,0.7073684923501129
677,354.748,0.7081930551362269,0.9465816562569658,2015_yk_379b,Yukon,2015,709.496,0.7073659874376503
678,355.272,0.7076499772756639,0.9258164546240948,2015_yk_379b,Yukon,2015,710.544,0.707357912546479
679,355.796,0.7064828152141333,0.926358887576957,2015_yk_379b,Yukon,2015,711.592,0.7073298405567748
680,356.32,0.707128940028995,0.9234886637670932,2015_yk_379b,Yukon,2015,712.64,0.7073352427980905
681,356.844,0.7077042057650341,0.9383825987415656,2015_yk_379b,Yukon,2015,713.688,0.7073271826736957
682,357.368,0.7070857249791719,0.921824567871154,2015_yk_379b,Yukon,2015,714.736,0.7073733460405724
683,357.892,0.7065194286299303,0.9368631457072888,2015_yk_379b,Yukon,2015,715.784,0.7073651633084747
684,358.416,0.7079720339127513,0.951317719684466,2015_yk_379b,Yukon,2015,716.832,0.7073956016818408
685,358.94,0.708313630528764,0.946740863697087,2015_yk_379b,Yukon,2015,717.88,0.7073991159583304
686,359.464,0.7077072186802508,0.9246059114394052,2015_yk_379b,Yukon,2015,718.928,0.7074063687883866
687,359.988,0.7078000040688446,0.927724197436943,2015_yk_379b,Yukon,2015,719.976,0.7074092340164384
688,360.512,0.7066345809356346,0.9389230507482216,2015_yk_379b,Yukon,2015,721.024,0.7074344863548497
689,361.036,0.7077628805374281,0.94088756053003475,2015_yk_379b,Yukon,2015,722.072,0.7074492415934278
690,361.56,0.7066310527879428,0.9308105930237168,2015_yk_379b,Yukon,2015,723.12,0.7074177817456655
691,362.084,0.7065118343710153,0.9471186905551312,2015_yk_379b,Yukon,2015,724.168,0.7074022845157547
692,362.608,0.7064069013620156,0.9534707233947411,2015_yk_379b,Yukon,2015,725.216,0.7073897842068743
693,363.132,0.7074407892533167,0.9275886170207268,2015_yk_379b,Yukon,2015,726.264,0.7074265148323227
694,363.656,0.7078641792808765,0.9193015198432928,2015_yk_379b,Yukon,2015,727.312,0.7074183161222722
695,364.18,0.7062349203185342,0.9371545017918276,2015_yk_379b,Yukon,2015,728.36,0.7074157617121215
696,364.704,0.7072749280355786,0.9350596999785548,2015_yk_379b,Yukon,2015,729.408,0.7074274171585535
697,365.228,0.706536820391257,0.9184457762487508,2015_yk_379b,Yukon,2015,730.456,0.7074226486164638
698,365.752,0.7077081135523356,0.9271638799959752,2015_yk_379b,Yukon,2015,731.504,0.7074508239404922
699,366.276,0.7092085007972708,0.948013843947949,2015_yk_379b,Yukon,2015,732.552,0.7074540421232128
700,366.8,0.7089139392112863,0.92069578680456865,2015_yk_379b,Yukon,2015,733.6,0.7074562431532182
701,367.324,0.7076425521469433,0.9084026282855614,2015_yk_379b,Yukon,2015,734.648,0.7074668595744638
702,367.848,0.7077930105904812,0.9096190636600402,2015_yk_379b,Yukon,2015,735.696,0.7074771950933646
703,368.372,0.7079914462976885,0.9177656981715224,2015_yk_379b,Yukon,2015,736.744,0.7074696112859015
704,368.896,0.7077377939602277,0.8946335045507173,2015_yk_379b,Yukon,2015,737.792,0.7074443126322464
705,369.42,0.7069237967594199,0.8921560131533804,2015_yk_379b,Yukon,2015,738.84,0.7074754852198382
706,369.944,0.7082947731510251,0.9110635684336168,2015_yk_379b,Yukon,2015,739.888,0.7075152237652147
707,370.468,0.7078613799142917,0.9277235021206008,2015_yk_379b,Yukon,2015,740.936,0.7074998544539717
708,370.992,0.706729997390669,0.91632010651886,2015_yk_379b,Yukon,2015,741.984,0.7075081642987741
709,371.516,0.7060089773664492,0.914368636184825,2015_yk_379b,Yukon,2015,743.032,0.7075343749564769
710,372.04,0.7071806856412518,0.9285406537188704,2015_yk_379b,Yukon,2015,744.08,0.7075368903881666
711,372.564,0.7069487406360991,0.9080090188081504,2015_yk_379b,Yukon,2015,745.128,0.7075217529596552
712,373.088,0.708977192562405,0.9019873038553184,2015_yk_379b,Yukon,2015,746.176,0.7075386021683451
713,373.612,0.707989687136542,0.9228289727286388,2015_yk_379b,Yukon,2015,747.224,0.7075550405843621
714,374.136,0.7085344367437222,0.94710680547087,2015_yk_379b,Yukon,2015,748.272,0.7075563479132115
715,374.66,0.7067778957294587,0.9274266323334588,2015_yk_379b,Yukon,2015,749.32,0.7075540154245741
716,375.184,0.7088255368722287,0.9163699744814294,2015_yk_379b,Yukon,2015,750.368,0.7075504845047861
717,375.708,0.7076668116682429,0.9344395006916104,2015_yk_379b,Yukon,2015,751.416,0.7075483598009725
718,376.232,0.7082673139841413,0.928372174454164,2015_yk_379b,Yukon,2015,752.464,0.7075722338717109
719,376.756,0.7079003481195187,0.9085563031171634,2015_yk_379b,Yukon,2015,753.5120000000001,0.7075661558889608
720,377.28,0.7062960404014617,0.9052543321520145,2015_yk_379b,Yukon,2015,754.5600000000001,0.7075726604839715
721,377.804,0.706960620837214,0.911326517438716,2015_yk_379b,Yukon,2015,755.6080000000001,0.7075939138229091
722,378.328,0.707017365316369,0.9049049476428208,2015_yk_379b,Yukon,2015,756.6560000000001,0.707623234821459
723,378.852,0.7083652937510501,0.9011171316847276,2015_yk_379b,Yukon,2015,757.7040000000001,0.7076392260332577
724,379.376,0.7068005252925381,0.911049748517096,2015_yk_379b,Yukon,2015,758.7520000000001,0.7076095189647326
725,379.9,0.7074319003150876,0.924584055942102,2015_yk_379b,Yukon,2015,759.8000000000001,0.7076327660898555
726,380.424,0.7076652418158762,0.9037722704564936,2015_yk_379b,Yukon,2015,760.8480000000001,0.7076417699394725
727,380.948,0.7074963218307179,0.91233348968314,2015_yk_379b,Yukon,2015,761.8960000000001,0.7076465292984228
728,381.472,0.70900197680702,0.940830328360021,2015_yk_379b,Yukon,2015,762.9440000000001,0.7076661611414361
729,381.996,0.7068588390126439,0.9443461793726344,2015_yk_379b,Yukon,2015,763.9920000000001,0.707628740083678
730,382.52,0.7073039651730665,0.9058288415700736,2015_yk_379b,Yukon,2015,765.0400000000001,0.7076064934303007
731,383.044,0.7080138034025129,0.9007840501115252,2015_yk_379b,Yukon,2015,766.0880000000001,0.7076056293360217
732,383.568,0.7074714082700084,0.9166050374270346,2015_yk_379b,Yukon,2015,767.1360000000001,0.7076122843639776
733,384.092,0.7060425557740981,0.912896129370574,2015_yk_379b,Yukon,2015,768.1840000000001,0.7076104924858375
734,384.616,0.7072368169438767,0.8998585760997205,2015_yk_379b,Yukon,2015,769.2320000000001,0.7076182725550778
735,385.14,0.7086651704969813,0.9176175360043252,2015_yk_379b,Yukon,2015,770.2800000000001,0.7076249210601907
736,385.664,0.7085467287473393,0.936642576167892,2015_yk_379b,Yukon,2015,771.3280000000001,0.7076043817253453
737,386.188,0.7072708964616522,0.8903128658123463,2015_yk_379b,Yukon,2015,772.376,0.7076069796002086
738,386.712,0.7081485679638011,0.8897119316334737,2015_yk_379b,Yukon,2015,773.424,0.7076144353679406
739,387.236,0.7080554546762999,0.900814013976586,2015_yk_379b,Yukon,2015,774.472,0.7076458816496871
740,387.76,0.7072798659303787,0.9098565500663668,2015_yk_379b,Yukon,2015,775.52,0.7076249886553275
741,388.284,0.7067959600543531,0.8770727688254051,2015_yk_379b,Yukon,2015,776.568,0.7076299927539371
742,388.808,0.7080966775005598,0.9077618591087798,2015_yk_379b,Yukon,2015,777.616,0.7076004292612602
743,389.332,0.7075057335909558,0.9386979835425868,2015_yk_379b,Yukon,2015,778.664,0.7076000075570633
744,389.856,0.708050473643717,0.9147210840974166,2015_yk_379b,Yukon,2015,779.712,0.7075715626336301
745,390.38,0.7081736812105167,0.8876429799114336,2015_yk_379b,Yukon,2015,780.76,0.7075891302591704
746,390.904,0.7074953634929663,0.9125842179599456,2015_yk_379b,Yukon,2015,781.808,0.7075721816264484
747,391.428,0.707672521840029,0.9270387764756064,2015_yk_379b,Yukon,2015,782.856,0.7075790925171039
748,391.952,0.7080670251799365,0.9027017837923756,2015_yk_379b,Yukon,2015,783.904,0.7075674203553131
749,392.476,0.7073982015724223,0.8876131709017061,2015_yk_379b,Yukon,2015,784.952,0.7075575982220657
750,393,0.7070213284885812,0.9152175616651468,2015_yk_379b,Yukon,2015,786,0.7075982347383122
