Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year
211,105.524,0.7088387,3.0276734,110.56400000000001,221.12800000000001,2011_nk_152,Nush,2011
212,106.048,0.7092948,3.0030684,111.08800000000001,222.17600000000002,2011_nk_152,Nush,2011
213,106.524,0.7084675,3.1108901,111.61200000000001,223.22400000000002,2011_nk_152,Nush,2011
214,107.048,0.7096123,3.1438494,112.13600000000001,224.27200000000002,2011_nk_152,Nush,2011
215,107.524,0.7090619,3.0620951,112.66000000000001,225.32000000000002,2011_nk_152,Nush,2011
216,108.048,0.7092955,2.9387385,113.18400000000001,226.36800000000002,2011_nk_152,Nush,2011
217,108.524,0.7097652,2.9329506,113.708,227.416,2011_nk_152,Nush,2011
218,109.048,0.7094376,3.0983221,114.232,228.464,2011_nk_152,Nush,2011
219,109.524,0.7088099,3.0951284,114.756,229.512,2011_nk_152,Nush,2011
220,110.048,0.709106,3.0679005,115.28,230.56,2011_nk_152,Nush,2011
221,110.524,0.7091417,3.0235461,115.804,231.608,2011_nk_152,Nush,2011
222,111.048,0.7096432,3.1507548,116.328,232.656,2011_nk_152,Nush,2011
223,111.524,0.7095905,3.0859337,116.852,233.704,2011_nk_152,Nush,2011
224,112.048,0.7086702,3.0929767,117.376,234.752,2011_nk_152,Nush,2011
225,112.524,0.7092477,3.0250584,117.9,235.8,2011_nk_152,Nush,2011
226,113.048,0.7094318,2.9427041,118.424,236.848,2011_nk_152,Nush,2011
227,113.524,0.7087881,2.9752844,118.94800000000001,237.89600000000002,2011_nk_152,Nush,2011
228,114.048,0.7091484,3.1205715,119.47200000000001,238.94400000000002,2011_nk_152,Nush,2011
229,114.524,0.7100172,3.2118166,119.99600000000001,239.99200000000002,2011_nk_152,Nush,2011
230,115.048,0.7089799,3.1400454,120.52000000000001,241.04000000000002,2011_nk_152,Nush,2011
231,115.524,0.7095712,3.1426347,121.04400000000001,242.08800000000002,2011_nk_152,Nush,2011
232,116.048,0.7093693,3.1577816,121.56800000000001,243.13600000000002,2011_nk_152,Nush,2011
233,116.524,0.7096876,3.3117652,122.09200000000001,244.18400000000003,2011_nk_152,Nush,2011
234,117.048,0.7093998,3.2204451,122.616,245.232,2011_nk_152,Nush,2011
235,117.524,0.7090481,3.0057741,123.14,246.28,2011_nk_152,Nush,2011
236,118.048,0.7089152,2.8974887,123.664,247.328,2011_nk_152,Nush,2011
237,118.524,0.7094864,3.1055662,124.188,248.376,2011_nk_152,Nush,2011
238,119.048,0.7088911,3.0062973,124.712,249.424,2011_nk_152,Nush,2011
239,119.524,0.7090894,2.8951217,125.236,250.472,2011_nk_152,Nush,2011
