Cycle,Time,Iso,Sr88,Microns,FishID,Watershed,Year
670,351.08000000000004,7.0684519066480722e-001,0.9085189446303685,702.1600000000001,2016_yk_221_sml,Yukon,2016
671,351.60400000000004,7.0599810462947976e-001,0.921273617340021,703.2080000000001,2016_yk_221_sml,Yukon,2016
672,352.12800000000004,7.0796991621472605e-001,0.9231441832808026,704.2560000000001,2016_yk_221_sml,Yukon,2016
673,352.65200000000004,7.0853187439537058e-001,0.9123468227507446,705.3040000000001,2016_yk_221_sml,Yukon,2016
674,353.176,7.0879165278021883e-001,0.8922323662290734,706.352,2016_yk_221_sml,Yukon,2016
675,353.7,7.0863168662510367e-001,0.9054726136683717,707.4,2016_yk_221_sml,Yukon,2016
676,354.224,7.0709471379321698e-001,0.9145417544478089,708.448,2016_yk_221_sml,Yukon,2016
677,354.748,7.0751597953343759e-001,0.9184448465420184,709.496,2016_yk_221_sml,Yukon,2016
678,355.272,7.0651785332331163e-001,0.9155006415099128,710.544,2016_yk_221_sml,Yukon,2016
679,355.796,7.0715191736881156e-001,0.9258611275689604,711.592,2016_yk_221_sml,Yukon,2016
680,356.32,7.0782638875765569e-001,0.9368581328105502,712.64,2016_yk_221_sml,Yukon,2016
681,356.844,7.0944345852861312e-001,0.9354100100482425,713.688,2016_yk_221_sml,Yukon,2016
682,357.368,7.0827947176636752e-001,0.9394033062458808,714.736,2016_yk_221_sml,Yukon,2016
683,357.892,7.0573453927549923e-001,0.9483772301781576,715.784,2016_yk_221_sml,Yukon,2016
684,358.416,7.0767514542024945e-001,0.9526847334964015,716.832,2016_yk_221_sml,Yukon,2016
685,358.94,7.0714039919940830e-001,0.9495222531552526,717.88,2016_yk_221_sml,Yukon,2016
686,359.464,7.0748867949228833e-001,0.9378312039597874,718.928,2016_yk_221_sml,Yukon,2016
687,359.988,7.0835759483229166e-001,0.9281911133999363,719.976,2016_yk_221_sml,Yukon,2016
688,360.512,7.0704777403127927e-001,0.9240117094537327,721.024,2016_yk_221_sml,Yukon,2016
689,361.036,7.0807621197077242e-001,0.9271636177879771,722.072,2016_yk_221_sml,Yukon,2016
690,361.56,7.0749250676141429e-001,0.92557813146242085,723.12,2016_yk_221_sml,Yukon,2016
