"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso","marine_start_index","natal_start_index","natal_end_index"
300,157.2,0.713631570307366,0.33685470664081,"2015_yk_068a","Yukon",2015,314.4,0.712784765855131,0.712715129856829,742,218.923802909707,429.905182759484
301,157.724,0.716754104327139,0.335512055833842,"2015_yk_068a","Yukon",2015,315.448,0.712745310913994,0.712715129856829,742,218.923802909707,429.905182759484
302,158.248,0.713410912978029,0.332659463030997,"2015_yk_068a","Yukon",2015,316.496,0.712728538684966,0.712715129856829,742,218.923802909707,429.905182759484
303,158.772,0.714399466619555,0.33084691913032,"2015_yk_068a","Yukon",2015,317.544,0.712671765294585,0.712715129856829,742,218.923802909707,429.905182759484
304,159.296,0.711184731351628,0.328755657293589,"2015_yk_068a","Yukon",2015,318.592,0.712673428691822,0.712715129856829,742,218.923802909707,429.905182759484
305,159.82,0.714107905366368,0.339992204943286,"2015_yk_068a","Yukon",2015,319.64,0.712626812760284,0.712715129856829,742,218.923802909707,429.905182759484
306,160.344,0.7155909834058,0.335596444890302,"2015_yk_068a","Yukon",2015,320.688,0.712620689011261,0.712715129856829,742,218.923802909707,429.905182759484
307,160.868,0.712136545471534,0.332092329601856,"2015_yk_068a","Yukon",2015,321.736,0.712629827654359,0.712715129856829,742,218.923802909707,429.905182759484
308,161.392,0.714837104524919,0.337961829062119,"2015_yk_068a","Yukon",2015,322.784,0.712685161567968,0.712715129856829,742,218.923802909707,429.905182759484
309,161.916,0.712215716628341,0.337159441225334,"2015_yk_068a","Yukon",2015,323.832,0.712669183506945,0.712715129856829,742,218.923802909707,429.905182759484
310,162.44,0.7110176574871,0.331332164504565,"2015_yk_068a","Yukon",2015,324.88,0.712655520891766,0.712715129856829,742,218.923802909707,429.905182759484
311,162.964,0.713658179730244,0.327759278661852,"2015_yk_068a","Yukon",2015,325.928,0.712627702165965,0.712715129856829,742,218.923802909707,429.905182759484
312,163.488,0.711191470850976,0.33248586644783,"2015_yk_068a","Yukon",2015,326.976,0.712596356653874,0.712715129856829,742,218.923802909707,429.905182759484
313,164.012,0.711265155820513,0.327950102122068,"2015_yk_068a","Yukon",2015,328.024,0.712651626489358,0.712715129856829,742,218.923802909707,429.905182759484
314,164.536,0.713314844324183,0.330015045011298,"2015_yk_068a","Yukon",2015,329.072,0.712632385424607,0.712715129856829,742,218.923802909707,429.905182759484
315,165.06,0.71161169155992,0.331896992549183,"2015_yk_068a","Yukon",2015,330.12,0.712635708546447,0.712715129856829,742,218.923802909707,429.905182759484
316,165.584,0.711763634250369,0.335000319070681,"2015_yk_068a","Yukon",2015,331.168,0.712709388053834,0.712715129856829,742,218.923802909707,429.905182759484
