Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
895,468.98,0.708629,0.917746,468.98,937.96,2011_nk_81,Nush,2011,0.708352150000002,0.905406683333335,7.5131666666672e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
896,469.504,0.709313,0.925935,469.504,939.008,2011_nk_81,Nush,2011,0.708359583333335,0.905734250000002,3.2756666666666e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
897,470.028,0.707907,0.924839,470.028,940.056,2011_nk_81,Nush,2011,0.708367016666668,0.904570733333335,-0.0011635166666667,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
898,470.552,0.708233,0.931397,470.552,941.104,2011_nk_81,Nush,2011,0.708379766666668,0.903210333333335,-0.00136039999999993,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
899,471.076,0.708781,0.945944,471.076,942.152,2011_nk_81,Nush,2011,0.708417116666668,0.901780283333335,-0.00143004999999996,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
900,471.6,0.709054,0.937698,471.6,943.2,2011_nk_81,Nush,2011,0.708443383333335,0.900759216666669,-0.00102106666666668,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
901,472.124,0.708991,0.96203,472.124,944.248,2011_nk_81,Nush,2011,0.708435266666668,0.898975600000002,-0.00178361666666671,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
902,472.648,0.707442,0.970737,472.648,945.296,2011_nk_81,Nush,2011,0.708429833333335,0.896275633333335,-0.00269996666666661,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
903,473.172,0.70708,1.015835,473.172,946.344,2011_nk_81,Nush,2011,0.708423783333335,0.893974916666669,-0.00230071666666676,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
904,473.696,0.708256,0.995263,473.696,947.392,2011_nk_81,Nush,2011,0.708437216666668,0.892801600000002,-0.00117331666666665,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
905,474.22,0.708569,0.983789,474.22,948.44,2011_nk_81,Nush,2011,0.708444033333335,0.891606566666669,-0.00119503333333337,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
906,474.744,0.708685,0.960778,474.744,949.488,2011_nk_81,Nush,2011,0.708439050000001,0.889780316666669,-0.00182625000000003,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
