Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
734,0.455197141182249,0.707655825178344,384.616,769.232,2015_nk_258,Nush,2015,0.7058712850997,0.457020110291266,4.2449437906688e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
735,0.456253590254994,0.705216174417933,385.14,770.28,2015_nk_258,Nush,2015,0.705828511117434,0.457622059654949,6.019493636829e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
736,0.457932949053427,0.704748037126856,385.664,771.328,2015_nk_258,Nush,2015,0.705859978760243,0.457844013350595,2.2195369564626e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
737,0.478338241708567,0.705473950721682,386.188,772.376,2015_nk_258,Nush,2015,0.705883602485693,0.458315906566164,4.7189321556834e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
738,0.456926222167975,0.706016121819983,386.712,773.424,2015_nk_258,Nush,2015,0.70588268127164,0.45868877222288,3.7286565671645e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
739,0.489090640574551,0.707277313330225,387.236,774.472,2015_nk_258,Nush,2015,0.70589413205237,0.459095806497517,4.0703427463717e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
740,0.471806363289898,0.705463423299129,387.76,775.52,2015_nk_258,Nush,2015,0.705930941076334,0.459473206264024,3.7739976650652e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
741,0.472782430546169,0.705267001573611,388.284,776.568,2015_nk_258,Nush,2015,0.705928082195414,0.45997763186645,5.0442560242619e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
742,0.494192328364335,0.705207155264282,388.808,777.616,2015_nk_258,Nush,2015,0.705967563386306,0.460415234238786,4.3760237233586e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
743,0.465916180049033,0.707088088109438,389.332,778.664,2015_nk_258,Nush,2015,0.705981645488941,0.4610055058247,5.9027158591434e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
744,0.475212681735098,0.702613344833684,389.856,779.712,2015_nk_258,Nush,2015,0.706024284085476,0.461538677102869,5.3317127816859e-4,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,Fw
