OtoNum,Fish_id,natal_iso,natal_isose,natal_start,natal_end,Date,DOY,Year,Watershed,Project,sampleYear,sampleDate,sexID,length,totalAge,Genetic_Number,Lower,Middle,Upper,dailyCPUEprop,OtoPropDaily,COratio,Strat,Quartile
26,2016_yk_026,0.721330308626183,0.00111879872347994,608.677759297919,730.652385052608,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,2,826,1.4,26,0.0026,0.4304,0.5671,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
27,2016_yk_027_redo,0.70925805281433,8.2993935326533e-4,1679.08174450958,1913.14162136797,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,839,1.4,27,2e-4,0.0519,0.9479,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
28,2016_yk_028_redo,0.71449976068801,0.00209845461858302,534.636980837478,853.839535720453,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,849,1.4,28,0.0016,0.0104,0.988,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
29,2016_yk_029,0.7158457666495,0.00129508665846609,503.705376237739,545.210592220888,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,719,1.3,29,0,0,1,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
30,2016_yk_030_redo,0.707739164926355,0.00125832441797095,552.290362345215,663.273133488805,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,738,1.3,30,0.0011,0.018,0.9809,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
31,2016_yk_031_redo,0.716701737692973,0.00140093126815916,576.601009341144,677.374774309372,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,700,NA,31,4e-4,0.9976,0.002,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
32,2016_yk_032,0.722899500707448,0.00102397341698078,590.821971161625,772.43929612428,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,2,816,1.3,32,0.007,0.8473,0.1457,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
33,2016_yk_033,0.711794040341586,7.7513174053679e-4,696.841267005972,856.783432419978,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,871,1.4,33,7e-4,0.0647,0.9346,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
34,2016_yk_034,0.718803756033858,0.00102240072988959,511.902447441233,648.973698782955,2016-06-13,165,2016,Yukon,Lower Yukon Test Fish,2016,6/13/16,1,722,1.3,34,4e-4,0.3834,0.6162,0.053304904051172705,0.08189655172413793,0.6508809336774772,0.6273308780771467,Q2
35,2016_yk_035_redo,0.707026484836414,7.3860163112593e-4,486.225383333242,571.080356250487,2016-06-14,166,2016,Yukon,Lower Yukon Test Fish,2016,6/14/16,1,565,1.2,35,0.9952,0.0022,0.0026,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
37,2016_yk_037,0.707175679970588,7.0860160407234e-4,620.486696298687,797.01243122936,2016-06-14,166,2016,Yukon,Lower Yukon Test Fish,2016,6/14/16,2,749,1.3,37,0.5251,0.4535,0.0214,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
38,2016_yk_038,0.705695083378036,8.7577626588925e-4,609.610281295327,747.992152130705,2016-06-14,166,2016,Yukon,Lower Yukon Test Fish,2016,6/14/16,2,795,1.4,38,0.9683,0.0311,6e-4,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
40,2016_yk_040,0.706541821574049,7.0384517730211e-4,515.185657457929,706.484423479002,2016-06-14,166,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
41,2016_yk_041,0.712283793637966,8.1647541592691e-4,503.401013931659,690.682622946516,2016-06-14,166,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
42,2016_yk_042_redo,0.707045099969851,8.4142403667252e-4,471.536323603958,635.670946321257,2016-06-14,166,2016,Yukon,Lower Yukon Test Fish,2016,6/14/16,2,769,NA,42,0.9976,0.0012,0.0012,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
43,2016_yk_043,0.710065665632415,8.2504947783706e-4,302.262353265022,561.123718380226,2016-06-14,166,2016,Yukon,Lower Yukon Test Fish,2016,6/14/16,2,790,1.3,43,0.3103,0.668,0.0217,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
44,2016_yk_044_redo,0.70806672564205,0.00134906921674008,718.093808137294,881.188373273651,2016-06-14,166,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038379530916844345,0.047413793103448273,0.8094591975188989,0.6273308780771467,Q2
45,2016_yk_045,0.707472013494923,5.0580409882007e-4,1850.26968180754,1992.51484391132,2016-06-15,167,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026119402985074626,0.03879310344827586,0.6733001658374792,0.6273308780771467,Q3
46,2016_yk_046_redo,0.712432832468798,0.00147801023923837,1004.66286681539,1165.70056029012,2016-06-15,167,2016,Yukon,Lower Yukon Test Fish,2016,6/15/16,2,815,1.4,46,0.8921,0.096,0.0119,0.026119402985074626,0.03879310344827586,0.6733001658374792,0.6273308780771467,Q3
47,2016_yk_047,0.707376386669652,5.8360216712157e-4,450.82801280999,602.636923488249,2016-06-15,167,2016,Yukon,Lower Yukon Test Fish,2016,6/15/16,2,780,1.3,47,0.6409,0.1787,0.1805,0.026119402985074626,0.03879310344827586,0.6733001658374792,0.6273308780771467,Q3
48,2016_yk_048,0.714548274451341,0.00144193510769809,669.111076643703,828.029693150561,2016-06-15,167,2016,Yukon,Lower Yukon Test Fish,2016,6/15/16,2,799,1.4,48,0.0086,0.0377,0.9537,0.026119402985074626,0.03879310344827586,0.6733001658374792,0.6273308780771467,Q3
49,2016_yk_049,0.707888930801994,7.1830240824174e-4,347.960715547514,472.636156995256,2016-06-15,167,2016,Yukon,Lower Yukon Test Fish,2016,6/15/16,1,687,1.3,49,0.8276,0.1701,0.0024,0.026119402985074626,0.03879310344827586,0.6733001658374792,0.6273308780771467,Q3
50,2016_yk_050,0.707130098109873,6.6560943539595e-4,630.31035790581,770.390863294688,2016-06-15,167,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026119402985074626,0.03879310344827586,0.6733001658374792,0.6273308780771467,Q3
52,2016_yk_052,0.724536438339587,0.00101103022566799,483.147596860486,608.540486569631,2016-06-16,168,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014925373134328358,0.03879310344827586,0.384742951907131,0.6273308780771467,Q3
53,2016_yk_053_redo,0.710182006496012,0.00267339793595177,515.457817038928,725.529967486292,2016-06-16,168,2016,Yukon,Lower Yukon Test Fish,2016,6/16/16,2,866,1.4,53,0.9479,0.0284,0.0237,0.014925373134328358,0.03879310344827586,0.384742951907131,0.6273308780771467,Q3
54,2016_yk_054_redo,0.710308990985124,0.00251595302761208,604.236691175784,892.203159883581,2016-06-16,168,2016,Yukon,Lower Yukon Test Fish,2016,6/16/16,1,807,NA,54,0.1188,0.1511,0.7301,0.014925373134328358,0.03879310344827586,0.384742951907131,0.6273308780771467,Q3
55,2016_yk_055,0.705963920054658,8.4436585249175e-4,561.078942040843,644.181240379684,2016-06-17,169,2016,Yukon,Lower Yukon Test Fish,2016,6/17/16,2,842,1.4,55,0.8912,0.1062,0.0026,0.01599147121535181,0.03017241379310345,0.5300030459945171,0.6273308780771467,Q3
56,2016_yk_056,0.708228024598737,6.4036019518062e-4,416.648946729377,509.364564191855,2016-06-17,169,2016,Yukon,Lower Yukon Test Fish,2016,6/17/16,1,682,1.3,56,0.9975,0.0021,4e-4,0.01599147121535181,0.03017241379310345,0.5300030459945171,0.6273308780771467,Q3
57,2016_yk_057_redo,0.723569552571971,0.00124683076998079,537.862777312489,649.918205936687,2016-06-17,169,2016,Yukon,Lower Yukon Test Fish,2016,6/17/16,1,771,1.3,57,0.4781,0.3775,0.1444,0.01599147121535181,0.03017241379310345,0.5300030459945171,0.6273308780771467,Q3
58,2016_yk_058_redo,0.70679443873281,0.00178428372121168,510.818533535752,690.236147290061,2016-06-18,170,2016,Yukon,Lower Yukon Test Fish,2016,6/18/16,2,818,1.4,58,0.817,0.0142,0.1688,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
59,2016_yk_059,0.71021173779706,0.00111171414091702,412.923340560626,588.508726737847,2016-06-18,170,2016,Yukon,Lower Yukon Test Fish,2016,6/18/16,2,767,1.4,59,0.095,0.1414,0.7636,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
60,2016_yk_060_redo,0.706813649722259,0.00156089138910875,400.538174145033,636.490559503505,2016-06-18,170,2016,Yukon,Lower Yukon Test Fish,2016,6/18/16,1,633,1.2,60,0,0,1,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
61,2016_yk_061,0.708320894872373,0.00136397276674452,257.963168689411,395.44427596622,2016-06-18,170,2016,Yukon,Lower Yukon Test Fish,2016,6/18/16,1,783,1.3,61,1e-4,0.064,0.936,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
62,2016_yk_062_redo,0.710996704475679,0.00205481169185295,249.763848897328,530.740575177159,2016-06-18,170,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
63,2016_yk_063,0.713325108489385,0.00145125348137293,378.704712206274,512.611986603296,2016-06-18,170,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
64,2016_yk_064,0.709095811652949,5.5328826374589e-4,268.975916673652,477.895643691609,2016-06-18,170,2016,Yukon,Lower Yukon Test Fish,2016,6/18/16,1,617,1.3,64,0.9999,1e-4,0,0.048240938166311295,0.05603448275862069,0.8609152041987862,0.9562899786780383,Q3
65,2016_yk_065,0.72313027850704,0.00121810120634744,593.385398272113,750.183112172191,2016-06-19,171,2016,Yukon,Lower Yukon Test Fish,2016,6/19/16,2,791,1.3,65,0.0142,0.9841,0.0017,0.04557569296375266,0.03879310344827586,1.1748400852878464,0.9562899786780383,Q3
67,2016_yk_067_redo,0.707146172329321,0.00105845557473401,366.595577755474,434.304378243583,2016-06-19,171,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04557569296375266,0.03879310344827586,1.1748400852878464,0.9562899786780383,Q3
68,2016_yk_068,0.709820705752568,8.7623259402787e-4,340.012481871317,628.874882873741,2016-06-19,171,2016,Yukon,Lower Yukon Test Fish,2016,6/19/16,1,558,1.2,68,5e-4,0.0026,0.9969,0.04557569296375266,0.03879310344827586,1.1748400852878464,0.9562899786780383,Q3
69,2016_yk_069,0.726031416645969,0.00102873547141927,644.078564739949,751.436151343462,2016-06-19,171,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04557569296375266,0.03879310344827586,1.1748400852878464,0.9562899786780383,Q3
70,2016_yk_070,0.716735127275302,0.00136699889697279,575.101267974056,646.321122740564,2016-06-19,171,2016,Yukon,Lower Yukon Test Fish,2016,6/19/16,1,781,1.3,70,0.0092,0.1223,0.8685,0.04557569296375266,0.03879310344827586,1.1748400852878464,0.9562899786780383,Q3
71,2016_yk_071,0.713836758151866,0.00162829458446674,468.507977557718,660.417002345954,2016-06-19,171,2016,Yukon,Lower Yukon Test Fish,2016,6/19/16,2,808,NA,71,0.0039,0.0341,0.962,0.04557569296375266,0.03879310344827586,1.1748400852878464,0.9562899786780383,Q3
72,2016_yk_072,0.706636785262569,7.9607957236124e-4,489.604109725354,639.318216640872,2016-06-20,172,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
73,2016_yk_073,0.707210395305062,6.7335053563933e-4,637.142812116739,713.775830963923,2016-06-20,172,2016,Yukon,Lower Yukon Test Fish,2016,6/20/16,1,830,1.3,73,0.9824,0.0066,0.011,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
74,2016_yk_074_redo,0.70655618724128,9.9469099771375e-4,524.611431828525,647.710011064389,2016-06-20,172,2016,Yukon,Lower Yukon Test Fish,2016,6/20/16,1,752,1.3,74,0.9651,0.0348,1e-4,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
75,2016_yk_075,0.709281220863662,0.00122942127203205,417.004975192499,613.438244891862,2016-06-20,172,2016,Yukon,Lower Yukon Test Fish,2016,6/20/16,1,609,1.2,75,0.0028,0.9958,0.0014,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
76,2016_yk_076,0.714806401013675,0.00135592090530679,642.547137036047,768.534422491347,2016-06-20,172,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
77,2016_yk_077,0.706226209664294,0.00133282376973562,541.007688531551,754.442437644561,2016-06-20,172,2016,Yukon,Lower Yukon Test Fish,2016,6/20/16,2,828,1.4,77,0.9693,0.0245,0.0062,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
78,2016_yk_078_redo,0.739907910756687,0.0013581171943222,494.433080526812,645.95785945193,2016-06-20,172,2016,Yukon,Lower Yukon Test Fish,2016,6/20/16,1,607,1.2,78,0.2705,0.6996,0.03,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
79,2016_yk_079,0.706475161707016,7.9087461824134e-4,478.00675365259,699.870010067111,2016-06-20,172,2016,Yukon,Lower Yukon Test Fish,2016,6/20/16,1,618,1.2,79,0.9782,0.0149,0.0068,0.05543710021321961,0.06896551724137931,0.8038379530916844,0.9562899786780383,Q3
80,2016_yk_080,0.707353716496213,0.00054357369081358005,1823.25372567207,1942.16627073665,2016-06-21,173,2016,Yukon,Lower Yukon Test Fish,2016,6/21/16,2,796,1.4,80,0.4296,0.5455,0.0249,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
81,2016_yk_081,0.710623606802886,0.00108937874771528,308.416209037494,492.504508433715,2016-06-21,173,2016,Yukon,Lower Yukon Test Fish,2016,6/21/16,2,860,1.4,81,0.7625,0.2047,0.0327,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
82,2016_yk_082_redo,0.709584309814929,0.00151464744260661,463.899916069884,704.549314119171,2016-06-21,173,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
83,2016_yk_083_redo,0.712679836578152,0.00176474293707376,332.004928431787,422.313073638484,2016-06-21,173,2016,Yukon,Lower Yukon Test Fish,2016,6/21/16,1,721,1.3,83,1e-4,0.0129,0.987,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
84,2016_yk_084,0.712034005048729,0.00154572919037975,545.518678722579,672.001675235442,2016-06-21,173,2016,Yukon,Lower Yukon Test Fish,2016,6/21/16,1,751,NA,84,0,0.0089,0.9911,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
85,2016_yk_085_redo,0.712134997782421,8.3792325520348e-4,383.256006579202,537.761803374082,2016-06-21,173,2016,Yukon,Lower Yukon Test Fish,2016,6/21/16,2,780,1.4,85,0.4325,0.063,0.5045,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
86,2016_yk_086,0.707519829573447,5.826599483468e-4,461.064138182642,624.489233017097,2016-06-21,173,2016,Yukon,Lower Yukon Test Fish,2016,6/21/16,1,661,1.3,86,0.7663,0.0734,0.1603,0.04877398720682303,0.047413793103448273,1.0286877301802675,0.9562899786780383,Q3
87,2016_yk_087,0.708771851772916,0.00123093391159788,596.250826213115,720.280125070379,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,2,800,1.3,87,0.0042,0.7169,0.2789,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
88,2016_yk_088_redo,0.712833565041721,0.00170151230463255,610.593616019048,728.093595241631,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,2,796,1.3,88,0.0704,0.8826,0.047,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
89,2016_yk_089_redo,0.707220026058153,0.00127116872403545,1259.42654061986,1373.71082388328,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,1,770,1.4,89,0.7409,0.0745,0.1847,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
90,2016_yk_090,0.717525739030062,0.00199709526439164,461.248062690633,687.131303625289,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,2,775,1.3,90,0.0016,0.1741,0.8243,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
91,2016_yk_091,0.707133653129567,9.5855465599226e-4,740.248960068265,913.9067943839,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,2,826,1.3,91,0.0447,0.9037,0.0516,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
92,2016_yk_092,0.739566763955406,0.00160083516065784,754.639622945344,938.716322855327,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,2,805,1.3,92,0.1506,0.6661,0.1832,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
93,2016_yk_093,0.707792256280387,4.9136152463229e-4,592.585014979537,724.520443507538,2016-06-22,174,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
94,2016_yk_094,0.714896558941161,0.00145331544736982,728.949302782525,893.775441896358,2016-06-22,174,2016,Yukon,Lower Yukon Test Fish,2016,6/22/16,2,833,1.4,94,0,0.0113,0.9887,0.041044776119402986,0.03879310344827586,1.0580431177446104,0.9562899786780383,Q4
95,2016_yk_095_redo,0.726241998506117,0.00113510564510526,1439.53270552528,1549.51429740433,2016-06-23,175,2016,Yukon,Lower Yukon Test Fish,2016,6/23/16,2,764,1.3,95,7e-4,0.0542,0.9451,0.030650319829424302,0.04310344827586207,0.7110874200426438,0.8153418951752861,Q4
96,2016_yk_096_redo,0.707235209351646,6.3774295684244e-4,725.612469272842,880.080027838131,2016-06-23,175,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030650319829424302,0.04310344827586207,0.7110874200426438,0.8153418951752861,Q4
97,2016_yk_097,0.707810299334092,6.6413961500413e-4,559.795339463621,766.379161497421,2016-06-23,175,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030650319829424302,0.04310344827586207,0.7110874200426438,0.8153418951752861,Q4
98,2016_yk_098_redo,0.711195790230399,0.00168451216288899,682.85019025857,817.11813965958,2016-06-23,175,2016,Yukon,Lower Yukon Test Fish,2016,6/23/16,1,809,1.3,98,0,2e-4,0.9998,0.030650319829424302,0.04310344827586207,0.7110874200426438,0.8153418951752861,Q4
99,2016_yk_099,0.716649298310964,6.1469497219015e-4,1629.00137636128,1696.25584322978,2016-06-24,176,2016,Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026652452025586353,0.034482758620689655,0.7729211087420043,0.8153418951752861,Q4
100,2016_yk_100,0.710574519285691,0.00121853321736333,374.355475808953,538.913429680237,2016-06-24,176,2016,Yukon,Lower Yukon Test Fish,2016,6/24/16,2,876,1.4,100,0.0082,0.151,0.8408,0.026652452025586353,0.034482758620689655,0.7729211087420043,0.8153418951752861,Q4
101,2016_yk_101,0.716780562998337,0.00128197412687585,635.436657845593,773.326719369978,2016-06-03,155,2016,Yukon,Lower Yukon Test Fish,2016,6/3/16,2,850,1.3,101,1e-4,0.9767,0.0232,0.012260127931769723,0.008620689655172414,1.4221748400852878,1.411869225302061,Q1
