Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1035,517.524,0.7095821,4.1246085,542.34,1084.68,2011_nk_225,Nush,2011,0.709071066666666,4.10537447166667,-0.00185920833333331,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1036,518.048,0.708943,4.1500461,542.864,1085.728,2011_nk_225,Nush,2011,0.709063056666666,4.10489212666667,-4.8234499999999e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1037,518.524,0.7086832,4.0585358,543.388,1086.776,2011_nk_225,Nush,2011,0.70906764,4.10534865333333,4.5652666666651e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1038,519.048,0.709371,4.1392275,543.912,1087.824,2011_nk_225,Nush,2011,0.709067006666666,4.10576003166666,4.1137833333326e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1039,519.524,0.7090785,4.1860416,544.436,1088.872,2011_nk_225,Nush,2011,0.709063458333333,4.10684456833333,0.00108453666666719,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1040,520.048,0.7089903,4.1293466,544.96,1089.92,2011_nk_225,Nush,2011,0.709058185,4.10678206,-6.25083333334331e-5,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1041,520.524,0.7090194,4.0613885,545.484,1090.968,2011_nk_225,Nush,2011,0.70905813,4.10773930333333,9.5724333333269e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1042,521.048,0.7093364,4.0973911,546.008,1092.016,2011_nk_225,Nush,2011,0.709069083333333,4.10887439,0.00113508666666728,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1043,521.524,0.7086554,4.1614459,546.532,1093.064,2011_nk_225,Nush,2011,0.709077548333333,4.10850464,-3.6975000000083e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1044,522.048,0.7092679,4.2190684,547.056,1094.112,2011_nk_225,Nush,2011,0.709084215,4.10904070666666,5.3606666666716e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1045,522.524,0.7093048,4.12923,547.58,1095.16,2011_nk_225,Nush,2011,0.709084061666666,4.10931602833333,2.7532166666599e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1046,523.048,0.7091872,4.1128905,548.104,1096.208,2011_nk_225,Nush,2011,0.709076673333333,4.1103741,0.00105807166666683,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
