Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
361,1.10291927724253,0.708518243589045,189.164,378.328,2015_nk_015,Nush,2015,0.709039280906931,1.10392208433992,-0.00104045129848451,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
362,1.10069740136857,0.708890141375501,189.688,379.376,2015_nk_015,Nush,2015,0.70901818024072,1.1029934715057,-9.2861283421696e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
363,1.08253860720806,0.709499273350985,190.212,380.424,2015_nk_015,Nush,2015,0.709014153650946,1.10257044232501,-4.2302918069725e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
364,1.07861890946661,0.709397737977476,190.736,381.472,2015_nk_015,Nush,2015,0.709008237963593,1.10190037104342,-6.7007128158502e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
365,1.07091534223687,0.708884655705918,191.26,382.52,2015_nk_015,Nush,2015,0.708986371164708,1.10165967101479,-2.4070002863552e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
366,1.08355735415273,0.708932951049095,191.784,383.568,2015_nk_015,Nush,2015,0.708991673898574,1.10138316532499,-2.7650568980153e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
367,1.10467489410462,0.708790820306817,192.308,384.616,2015_nk_015,Nush,2015,0.708986563314591,1.10097342811067,-4.0973721431214e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
368,1.06917534664782,0.709676070538878,192.832,385.664,2015_nk_015,Nush,2015,0.708977280891254,1.10043076847443,-5.4265963624455e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
369,1.06547622737993,0.708786222110536,193.356,386.712,2015_nk_015,Nush,2015,0.708976866095783,1.09912068635754,-0.00131008211689365,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
370,1.06993758121012,0.707325833809382,193.88,387.76,2015_nk_015,Nush,2015,0.70896155579249,1.09856377102737,-5.5691533016943e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
371,1.0895870058958,0.709093008391904,194.404,388.808,2015_nk_015,Nush,2015,0.708952764748237,1.09870999522864,1.4622420127707e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
372,1.114255236328,0.709456281338151,194.928,389.856,2015_nk_015,Nush,2015,0.708968341875324,1.09814511199399,-5.6488323465586e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
373,1.11530370110607,0.709228854900985,195.452,390.904,2015_nk_015,Nush,2015,0.708971024376238,1.0981539538713,8.8418773169785e-6,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
374,1.09824727232498,0.708803343094197,195.976,391.952,2015_nk_015,Nush,2015,0.708987713132186,1.09776322382013,-3.9073005116918e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
375,1.1041732438513,0.708859429888028,196.5,393,2015_nk_015,Nush,2015,0.709004875253136,1.09691872200614,-8.4450181399686e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
376,1.11212122324154,0.707725068172791,197.024,394.048,2015_nk_015,Nush,2015,0.709000822427607,1.09639577024411,-5.229517620271e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
377,1.12770529331863,0.708821807552703,197.548,395.096,2015_nk_015,Nush,2015,0.709003604940945,1.09524602470361,-0.00114974554050384,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
378,1.10620111707003,0.708514957287125,198.072,396.144,2015_nk_015,Nush,2015,0.709027049761695,1.09481514167593,-4.3088302767357e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
379,1.096660802882,0.710194927465779,198.596,397.192,2015_nk_015,Nush,2015,0.709027885531313,1.09459112599003,-2.2401568590191e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
380,1.1201862128996,0.708727383603582,199.12,398.24,2015_nk_015,Nush,2015,0.709057277060829,1.09403347939251,-5.5764659752499e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
381,1.10269577717955,0.708849431211556,199.644,399.288,2015_nk_015,Nush,2015,0.709043223422332,1.09298426432402,-0.00104921506848377,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
382,1.11667709255537,0.709271841666087,200.168,400.336,2015_nk_015,Nush,2015,0.709039558943691,1.09275935130426,-2.2491301976468e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
383,1.11275027016125,0.709224287561522,200.692,401.384,2015_nk_015,Nush,2015,0.709041450780845,1.09223340910361,-5.2594220064361e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
384,1.1257350430186,0.709934563594372,201.216,402.432,2015_nk_015,Nush,2015,0.709050453767716,1.09158987759384,-6.4353150977725e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
385,1.0960149852125,0.708301774738164,201.74,403.48,2015_nk_015,Nush,2015,0.709054492579879,1.09058650220156,-0.00100337539227691,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
386,1.12096823599481,0.709916317440196,202.264,404.528,2015_nk_015,Nush,2015,0.70904381681946,1.0902094806868,-3.7702151475915e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
387,1.10296972571265,0.709605565358464,202.788,405.576,2015_nk_015,Nush,2015,0.709065975008368,1.08929337039574,-9.1611029105842e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
388,1.09178430754213,0.710059217973608,203.312,406.624,2015_nk_015,Nush,2015,0.709071525739387,1.08851472104782,-7.7864934791827e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
389,1.09126187887844,0.708776972645938,203.836,407.672,2015_nk_015,Nush,2015,0.709066362697174,1.08875485791379,2.4013686596813e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
390,1.070976245118,0.709452188877077,204.36,408.72,2015_nk_015,Nush,2015,0.709085238772237,1.08862283967347,-1.3201824032393e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
391,1.06830148916267,0.709487351898975,204.884,409.768,2015_nk_015,Nush,2015,0.709077213951046,1.08799517497977,-6.2766469369957e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
392,1.0724435789693,0.707291440675186,205.408,410.816,2015_nk_015,Nush,2015,0.709075398920638,1.08759761497298,-3.9756000679358e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
393,1.0879582514585,0.708666303791573,205.932,411.864,2015_nk_015,Nush,2015,0.709047777852031,1.08754923224732,-4.83827256574365e-5,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
394,1.1021655616911,0.709057800847879,206.456,412.912,2015_nk_015,Nush,2015,0.709032727471054,1.08699797615702,-5.5125609029915e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
395,1.11404644129407,0.708751343796917,206.98,413.96,2015_nk_015,Nush,2015,0.70905046491343,1.08632579947596,-6.7217668105601e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
396,1.10850814307444,0.709244034052256,207.504,415.008,2015_nk_015,Nush,2015,0.70906523784328,1.08564661207319,-6.7918740277739e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
