Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1282,671.768,0.70775766406112,0.515798101642887,2015_yk_489,Yukon,2015,1343.536,0.707992752623387,0.501518852241998,2.11324611635311e-5,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1283,672.292,0.708043708431418,0.505911806370236,2015_yk_489,Yukon,2015,1344.584,0.707958669806196,0.502074378406117,5.5552616411869e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1284,672.816,0.70753689074139,0.501640742066616,2015_yk_489,Yukon,2015,1345.632,0.707972833176739,0.503233581142462,0.00115920273634518,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1285,673.34,0.708757383108761,0.513385749604604,2015_yk_489,Yukon,2015,1346.68,0.707951735293414,0.504032961569999,7.9938042753691e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1286,673.864,0.709113387213065,0.508362646188261,2015_yk_489,Yukon,2015,1347.728,0.707975401963628,0.504122784596554,8.98230265545807e-5,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1287,674.388,0.707422307959511,0.494801848500588,2015_yk_489,Yukon,2015,1348.776,0.707904054902901,0.504632090945637,5.0930634908297e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1288,674.912,0.706947617928012,0.501771646709379,2015_yk_489,Yukon,2015,1349.824,0.707938696603417,0.505377061269304,7.4497032366704e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1289,675.436,0.70981882465821,0.509091476346378,2015_yk_489,Yukon,2015,1350.872,0.70790829461225,0.505718889837553,3.4182856824904e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1290,675.96,0.707221239667618,0.495038681721704,2015_yk_489,Yukon,2015,1351.92,0.707889798268394,0.506138990748031,4.2010091047872e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1291,676.484,0.707688259009954,0.494062726911172,2015_yk_489,Yukon,2015,1352.968,0.707832978584672,0.506721836052297,5.8284530426544e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1292,677.008,0.708740843768787,0.503325157662324,2015_yk_489,Yukon,2015,1354.016,0.707825827540755,0.507230390416459,5.0855436416197e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1293,677.532,0.708869140716234,0.50203706025633,2015_yk_489,Yukon,2015,1355.064,0.707851222603962,0.507179857536927,-5.05328795316062e-5,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1294,678.056,0.706465069479101,0.488390728808648,2015_yk_489,Yukon,2015,1356.112,0.707851697071627,0.507613465935397,4.3360839846962e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1295,678.58,0.705601597388283,0.499277625359926,2015_yk_489,Yukon,2015,1357.16,0.707822056779102,0.508358664472403,7.4519853700616e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1296,679.104,0.709905170911716,0.503971984912195,2015_yk_489,Yukon,2015,1358.208,0.707821856341016,0.508403347499992,4.46830275889765e-5,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1297,679.628,0.707331792064898,0.492031122407376,2015_yk_489,Yukon,2015,1359.256,0.707821482908601,0.50821961582542,-1.8373167457186e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1298,680.152,0.70628812798876,0.482010569684041,2015_yk_489,Yukon,2015,1360.304,0.707773927431029,0.508572548331562,3.5293250614154e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1299,680.676,0.705750217148835,0.490890377152592,2015_yk_489,Yukon,2015,1361.352,0.7077472032512,0.509114002463062,5.4145413150075e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1300,681.2,0.70859546398165,0.490186055213845,2015_yk_489,Yukon,2015,1362.4,0.70779988409794,0.509317401535354,2.0339907229172e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1301,681.724,0.708321764721384,0.489070349897856,2015_yk_489,Yukon,2015,1363.448,0.707737315521242,0.509832333086682,5.1493155132753e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1302,682.248,0.708462464886139,0.50528983150947,2015_yk_489,Yukon,2015,1364.496,0.707693299256387,0.510575602008673,7.4326892199161e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
