Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
665,348.46,0.714923099775758,0.593568314934443,2015_yk_062a,Yukon,2015,696.92,0.71500664680582,0.601243693759987,1.8467376288366e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
666,348.984,0.713042283768233,0.605860692443034,2015_yk_062a,Yukon,2015,697.968,0.715012830529895,0.601258502761811,1.48090018238234e-5,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
667,349.508,0.71375063413012,0.604854981024729,2015_yk_062a,Yukon,2015,699.016,0.714995540018487,0.601254792771103,-3.70999070786748e-6,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
668,350.032,0.714310364312542,0.596436733554899,2015_yk_062a,Yukon,2015,700.064,0.715001141382188,0.601429922421997,1.7512965089361e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
669,350.556,0.714599815932758,0.586600461948103,2015_yk_062a,Yukon,2015,701.112,0.715022598038578,0.601668020014188,2.3809759219151e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
670,351.08,0.714431353826126,0.59193781740275,2015_yk_062a,Yukon,2015,702.16,0.715040069137264,0.601613471533841,-5.45484803465834e-5,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
671,351.604,0.714385142469159,0.600400380932283,2015_yk_062a,Yukon,2015,703.208,0.715064780557688,0.60135894759489406,-2.5452393894764e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
672,352.128,0.715127463363406,0.584025130266371,2015_yk_062a,Yukon,2015,704.256,0.715108774801693,0.601428870589911,6.99229950171798e-5,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
673,352.652,0.715149573142625,0.59275046939876,2015_yk_062a,Yukon,2015,705.304,0.715089273567316,0.601538161589184,1.0929099927348e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
674,353.176,0.715897713429818,0.599589315843208,2015_yk_062a,Yukon,2015,706.352,0.715077184678601,0.601907529045444,3.6936745625948e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
675,353.7,0.716335094592527,0.600040598973208,2015_yk_062a,Yukon,2015,707.4,0.715101139545695,0.60215543691424,2.4790786879558e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
676,354.224,0.714698596947572,0.599391948215281,2015_yk_062a,Yukon,2015,708.448,0.715112145919972,0.602150466862151,-4.97005208854873e-6,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
677,354.748,0.713834302598605,0.613332662373215,2015_yk_062a,Yukon,2015,709.496,0.715102466816259,0.602443652454537,2.9318559238644e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
678,355.272,0.715264375565217,0.597564644198521,2015_yk_062a,Yukon,2015,710.544,0.715086595403839,0.602737084707939,2.9343225340194e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
679,355.796,0.714474859750097,0.601580093059393,2015_yk_062a,Yukon,2015,711.592,0.715023671032525,0.60302378691155,2.8670220361071e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
680,356.32,0.712721035684551,0.589789923754606,2015_yk_062a,Yukon,2015,712.64,0.7150328815079,0.60326669114986,2.4290423830963e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
681,356.844,0.717349487280863,0.607421458629152,2015_yk_062a,Yukon,2015,713.688,0.715056955459455,0.603422944108105,1.5625295824561e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
682,357.368,0.714380926723867,0.617291043137476,2015_yk_062a,Yukon,2015,714.736,0.715076248767333,0.603777584145755,3.5464003764929e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
683,357.892,0.713325774568655,0.60619198187236,2015_yk_062a,Yukon,2015,715.784,0.715047543339168,0.604158217500286,3.8063335453109e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
684,358.416,0.715583593988464,0.608255481407892,2015_yk_062a,Yukon,2015,716.832,0.715070670163065,0.604496319338794,3.3810183850824e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
685,358.94,0.715461311343694,0.616860638878708,2015_yk_062a,Yukon,2015,717.88,0.715036469119571,0.604804889309004,3.0856997021e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
686,359.464,0.715779207897134,0.606484711853465,2015_yk_062a,Yukon,2015,718.928,0.715053831113369,0.605119983663203,3.1509435419852e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
687,359.988,0.714066514079214,0.599453313987686,2015_yk_062a,Yukon,2015,719.976,0.715092296534072,0.605662600234629,5.4261657142662e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
688,360.512,0.715178427651714,0.60416115452898,2015_yk_062a,Yukon,2015,721.024,0.715124378257382,0.606210069450422,5.4746921579318e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
689,361.036,0.715083173664362,0.60478242452304,2015_yk_062a,Yukon,2015,722.072,0.715110385221335,0.606880722433352,6.7065298293e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
690,361.56,0.713616954329804,0.599280325476893,2015_yk_062a,Yukon,2015,723.12,0.715137659925606,0.607510515965366,6.2979353201342e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
691,362.084,0.71532045918389,0.601140960205385,2015_yk_062a,Yukon,2015,724.168,0.71512123596145,0.607904902537716,3.9438657235013e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
692,362.608,0.714265530076405,0.595272594293219,2015_yk_062a,Yukon,2015,725.216,0.715112720367562,0.608383358476542,4.78455938826e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
693,363.132,0.71489805714434,0.601698536400413,2015_yk_062a,Yukon,2015,726.264,0.715088927977247,0.609006191393497,6.2283291695552e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
694,363.656,0.716130896089419,0.596945834957636,2015_yk_062a,Yukon,2015,727.312,0.715092063450379,0.609664265945931,6.5807455243394e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
695,364.18,0.715471966427392,0.601478622873885,2015_yk_062a,Yukon,2015,728.36,0.715085953437306,0.610087844127609,4.2357818167804e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
696,364.704,0.716042309884645,0.601947487786943,2015_yk_062a,Yukon,2015,729.408,0.7151351452881,0.610405577918241,3.1773379063171e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
697,365.228,0.714942570334536,0.602749269735175,2015_yk_062a,Yukon,2015,730.456,0.71514985073243,0.610888528649825,4.8295073158366e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
698,365.752,0.716159368031035,0.610604529517448,2015_yk_062a,Yukon,2015,731.504,0.715146410625578,0.611503165568488,6.1463691866314e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
699,366.276,0.715869944750119,0.609717918025552,2015_yk_062a,Yukon,2015,732.552,0.71514711620039,0.612226669501012,7.2350393252396e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
700,366.8,0.715944359478563,0.602043132391053,2015_yk_062a,Yukon,2015,733.6,0.715142967246736,0.612941584229325,7.1491472831353e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
701,367.324,0.71526608142936,0.593136981573005,2015_yk_062a,Yukon,2015,734.648,0.715189629489845,0.613416707895817,4.7512366649171e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
702,367.848,0.716200377506917,0.611204821501735,2015_yk_062a,Yukon,2015,735.696,0.715200191819348,0.61396022803928,5.4352014346337e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
703,368.372,0.715222921077741,0.61383692504508,2015_yk_062a,Yukon,2015,736.744,0.715205666049185,0.614443255773295,4.8302773401454e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
704,368.896,0.7154967976251,0.610116880254162,2015_yk_062a,Yukon,2015,737.792,0.715176393105002,0.615056876778034,6.1362100473938e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
705,369.42,0.714902453718398,0.614060449980782,2015_yk_062a,Yukon,2015,738.84,0.71514544589883,0.615481736190413,4.2485941237813e-4,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
