Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
911,1.98594880968978,0.708339002456017,477.364,954.728,2015_nk_199_redo,Nush,2015,0.708979921172468,1.97148209067228,0.00428147216773467,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
912,1.94856644406963,0.709107288392197,477.888,955.776,2015_nk_199_redo,Nush,2015,0.708975556145474,1.97509030772772,0.00360821705544279,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
913,2.01225167659907,0.708930643800947,478.412,956.824,2015_nk_199_redo,Nush,2015,0.708982239490619,1.9796658752604,0.00457556753267641,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
914,1.98818315316182,0.709072051666233,478.936,957.872,2015_nk_199_redo,Nush,2015,0.708976907818554,1.98311636409093,0.00345048883053378,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
915,1.98465973630994,0.708661767738556,479.46,958.92,2015_nk_199_redo,Nush,2015,0.708976062992421,1.98582985111673,0.00271348702580032,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
916,1.98262026072667,0.708193588431739,479.984,959.968,2015_nk_199_redo,Nush,2015,0.708985117330661,1.98954907011475,0.00371921899801331,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
917,1.94939792515371,0.709084663693955,480.508,961.016,2015_nk_199_redo,Nush,2015,0.708980786938489,1.99253272714594,0.00298365703119252,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
918,1.94278935062055,0.708943199992507,481.032,962.064,2015_nk_199_redo,Nush,2015,0.708969315392053,1.9961696489337,0.00363692178775632,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
919,1.97150882668777,0.70935228903201,481.556,963.112,2015_nk_199_redo,Nush,2015,0.708987406651365,1.99874914857476,0.00257949964106308,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
920,1.99089780693331,0.708716681784056,482.08,964.16,2015_nk_199_redo,Nush,2015,0.70900464183652,2.00237115296371,0.00362200438895233,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
921,1.97737924513179,0.708352799073966,482.604,965.208,2015_nk_199_redo,Nush,2015,0.709016068424286,2.00632390023012,0.00395274726641404,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
922,1.99797077706105,0.708695984884489,483.128,966.256,2015_nk_199_redo,Nush,2015,0.709034531602407,2.01153296285271,0.0052090626225807,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
923,1.92484880944674,0.708730663448477,483.652,967.304,2015_nk_199_redo,Nush,2015,0.709042620190617,2.01562176823864,0.00408880538593293,143.925201319015,313.91273332324,897.088,0.708645519719255,NA
